0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61
0.5875,0.4481,0.5507,0.5194,0.5846,0.5872,0.5846,0.5903,0.4395,0.5473,0.5191,0.6831,0.4981,0.5349,0.4639,0.5935,0.4829,0.5691,0.5355,0.4608,0.5814,0.6024,0.5691,0.4976,0.5412,0.5159,0.5628,0.6673,0.6616,0.5596,0.5694,0.6553,0.5694,0.6521,0.5444,0.3867,0.6153,0.6061,0.52,0.5378,0.5507,0.5068,0.5906,0.4243,0.6584,0.5935,0.6309,0.5536,0.5102,0.5748,0.6645,0.5073,0.5539,0.5286,0.5415,0.5656,0.6185,0.5254,0.5662,0.649,0.5906,0.5315
0.5875,0.4668,0.5507,0.5194,0.5846,0.6087,0.603,0.5903,0.4395,0.5473,0.5191,0.6831,0.4981,0.5349,0.4639,0.5935,0.4829,0.5691,0.5355,0.4608,0.5814,0.6024,0.5691,0.4976,0.5412,0.5375,0.5628,0.6673,0.6616,0.5596,0.5694,0.6553,0.5694,0.6521,0.5444,0.3867,0.6153,0.6061,0.52,0.5378,0.5507,0.5068,0.5906,0.4243,0.6708,0.5935,0.6309,0.5536,0.5102,0.5748,0.6645,0.5073,0.5539,0.5286,0.5415,0.5656,0.6185,0.5254,0.5662,0.649,0.5906,0.5406
0.5875,0.4668,0.5539,0.5194,0.5846,0.6087,0.603,0.5903,0.4395,0.5473,0.5533,0.6831,0.4981,0.5349,0.4639,0.5935,0.4829,0.5691,0.5355,0.4608,0.5814,0.6027,0.5691,0.4976,0.5412,0.5375,0.5628,0.6797,0.6616,0.5596,0.5694,0.6553,0.5694,0.6645,0.5444,0.3867,0.6153,0.6061,0.52,0.5378,0.5507,0.5068,0.5906,0.4243,0.6708,0.5935,0.6432,0.5536,0.5197,0.5748,0.6705,0.5073,0.5539,0.5286,0.5415,0.572,0.6185,0.5381,0.5662,0.649,0.5906,0.5406
0.5875,0.4731,0.5659,0.5194,0.5846,0.6087,0.603,0.5903,0.4395,0.5473,0.5533,0.6831,0.4981,0.5349,0.4639,0.5935,0.5165,0.5691,0.5355,0.4729,0.5814,0.6119,0.5967,0.4976,0.5412,0.5375,0.5628,0.6797,0.6648,0.5906,0.5694,0.6553,0.5694,0.6645,0.5444,0.3993,0.6153,0.6061,0.52,0.5378,0.5507,0.5068,0.5906,0.4243,0.6708,0.5935,0.6432,0.5596,0.5197,0.5765,0.6705,0.5073,0.5539,0.5286,0.5415,0.572,0.6185,0.5381,0.5662,0.649,0.5906,0.5777
0.5875,0.4823,0.5659,0.5194,0.5846,0.6087,0.603,0.5903,0.4395,0.5473,0.5533,0.6831,0.4981,0.5349,0.4924,0.5935,0.5165,0.5691,0.5355,0.4729,0.5814,0.6705,0.5967,0.4976,0.5447,0.5375,0.5628,0.6797,0.6739,0.5906,0.5694,0.6553,0.5694,0.6645,0.5444,0.3993,0.6153,0.6061,0.52,0.5378,0.5507,0.5068,0.5906,0.4243,0.6708,0.5935,0.6432,0.5596,0.5257,0.655,0.6705,0.5073,0.5539,0.5286,0.5415,0.5843,0.6185,0.5381,0.5662,0.649,0.5906,0.5777
0.5875,0.4823,0.5659,0.5194,0.5846,0.6087,0.603,0.5903,0.4395,0.5473,0.5564,0.6831,0.4981,0.5349,0.4924,0.5935,0.5165,0.5691,0.5355,0.4729,0.5814,0.6705,0.5967,0.4976,0.5504,0.5375,0.5628,0.6797,0.6739,0.5906,0.5694,0.6553,0.5694,0.6645,0.5444,0.3993,0.6153,0.6061,0.52,0.5378,0.5507,0.5073,0.5906,0.4243,0.6708,0.6306,0.6432,0.5596,0.5257,0.655,0.6705,0.5073,0.5539,0.5286,0.5415,0.5843,0.6185,0.5381,0.5662,0.649,0.5906,0.5777
0.5875,0.4947,0.5659,0.5194,0.5846,0.6087,0.603,0.5903,0.4395,0.5473,0.5656,0.6831,0.4981,0.5349,0.4924,0.5935,0.5165,0.5691,0.5355,0.4729,0.5814,0.6705,0.5967,0.4976,0.5504,0.5375,0.5628,0.6797,0.6739,0.5906,0.5694,0.6553,0.5694,0.6645,0.5444,0.3993,0.6153,0.6061,0.52,0.5378,0.5507,0.5346,0.5906,0.4545,0.6708,0.6306,0.6432,0.5596,0.5257,0.655,0.6705,0.5073,0.5662,0.5315,0.5415,0.5843,0.6185,0.5381,0.5662,0.649,0.5906,0.5777
0.5875,0.5226,0.5659,0.5317,0.6153,0.6087,0.603,0.5903,0.4395,0.5473,0.5656,0.6831,0.4981,0.5349,0.5323,0.5935,0.5165,0.5691,0.5355,0.4729,0.5814,0.6705,0.5967,0.4976,0.5504,0.5375,0.5628,0.6797,0.6739,0.5906,0.5694,0.6553,0.5694,0.6645,0.5444,0.4516,0.6153,0.6061,0.5231,0.5378,0.5507,0.5346,0.5906,0.4545,0.6708,0.6306,0.6432,0.5596,0.5257,0.655,0.6705,0.5073,0.5662,0.5315,0.5415,0.5843,0.6185,0.5381,0.5662,0.6521,0.5906,0.5932
0.5875,0.5226,0.5659,0.5668,0.6153,0.6087,0.603,0.5903,0.4553,0.578,0.5656,0.6831,0.4981,0.5349,0.5323,0.6059,0.5165,0.5691,0.5355,0.5099,0.5814,0.6705,0.5967,0.4976,0.5662,0.5375,0.5628,0.6797,0.6739,0.5906,0.5694,0.6553,0.5694,0.6645,0.5444,0.4516,0.6153,0.6061,0.5231,0.5378,0.5599,0.5346,0.5906,0.4545,0.6708,0.6306,0.6556,0.5596,0.5257,0.655,0.6705,0.5073,0.5662,0.5409,0.5415,0.5843,0.6185,0.5381,0.5662,0.6521,0.5906,0.6395
0.5875,0.5226,0.5659,0.5668,0.6153,0.6087,0.603,0.5903,0.4553,0.578,0.572,0.6831,0.4984,0.5349,0.5323,0.6059,0.5257,0.5691,0.5355,0.5099,0.5814,0.6705,0.5967,0.4976,0.5662,0.5375,0.5628,0.6797,0.6739,0.6303,0.5694,0.6553,0.5694,0.6645,0.5444,0.4516,0.6153,0.6061,0.5231,0.5378,0.5599,0.5346,0.5906,0.4545,0.6708,0.6553,0.6556,0.5596,0.5257,0.655,0.6705,0.5073,0.5662,0.5409,0.5415,0.5843,0.6185,0.5381,0.5662,0.6768,0.5906,0.6395
