0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61
0.0752216,0.0477586,0.0611056,0.0616868,0.0694027,0.0560696,0.0785738,0.0885622,0.0535043,0.075298,0.05344,0.0572655,0.0641621,0.0652106,0.0696985,0.1150744,0.0560898,0.0605526,0.0653561,0.0483758,0.0873271,0.0740417333333,0.0776516,0.0657088,0.068377,0.0601595,0.0630524,0.0740726,0.0845816,0.0642552,0.0680247,0.0760789,0.0460364,0.0718149,0.0597205,0.0529212666667,0.0607287,0.0765995,0.0624188,0.0677181,0.0706949,0.0947897,0.060296,0.0601088,0.0827035,0.0632818,0.0590989,0.0577816,0.0635063,0.0720589,0.0537939,0.0513092,0.0803951,0.0693174,0.0550207,0.0645071333333,0.0925537,0.052599,0.0663176,0.0721175,0.0480624,0.0599624
0.0860342,0.0523752,0.0686522,0.0634682,0.0756384,0.0573114,0.0853522,0.0953058,0.0584241,0.0814111,0.0579299,0.0632142,0.0671721,0.0659526,0.0722164,0.1323846,0.0597626,0.0674533,0.0662508,0.0510322,0.0988673,0.0822851333333,0.0823836,0.0663188,0.071561,0.0636791,0.0689621,0.0812966,0.0934994,0.066893,0.0737582,0.0857116,0.0484034,0.0705823,0.0669121,0.0522774,0.0645825,0.0830599,0.0664713,0.0702547,0.0725525,0.102933933333,0.0609696,0.0690480666667,0.089868,0.070395,0.0669034,0.0640489,0.0733658,0.0763569,0.0587538,0.0543841,0.0878961,0.0757486,0.0603026,0.0801501,0.1036427,0.0554002,0.0725368,0.0795748,0.0506056,0.0663126
0.0959594,0.0590514,0.0732708,0.06782,0.083303,0.0626352,0.0875266,0.1079058,0.0594469,0.0840166,0.0581522,0.0689026,0.0719549,0.0665522,0.074566,0.1551058,0.0644104,0.072977,0.0695048,0.0537831,0.1068969,0.0859705333333,0.0904354,0.0718867,0.0774858,0.0669201,0.0739207666667,0.0845123,0.1000302,0.0732966,0.0775086,0.0960254,0.0517357,0.0826435,0.076716,0.0574858,0.0650711,0.0878085,0.0723635,0.0762473,0.0800711,0.1139884,0.0665308,0.0747143666667,0.0972224,0.0779232,0.0741524,0.0722021,0.0811292,0.0783867,0.064003,0.061298,0.0927512,0.0813934,0.0678056,0.0889841,0.117745,0.0595118,0.0763872,0.085937,0.0544088,0.0723004
0.1018575,0.0657666,0.0742688,0.0739296,0.0956456,0.068494,0.0942478,0.1170648,0.0653747,0.0857898,0.0580409,0.0775536,0.0757092,0.0714124,0.079234,0.1685637,0.0688404,0.0771788,0.0738418,0.0578548,0.1145124,0.0934537666667,0.0953318,0.0788352,0.0803716,0.0683787,0.0806839666667,0.0903007,0.1155296,0.0785352,0.0849843,0.1157231,0.0603179,0.0929144,0.0788867,0.0605042,0.0716695,0.0963275,0.0767455,0.0812151,0.084498,0.1210683,0.0707988,0.0826930666667,0.11184,0.0860438,0.0870162,0.081306,0.0890642,0.0887819,0.0675344,0.064537,0.099792,0.0891244,0.0757248,0.0938271,0.127788,0.0631656,0.080308,0.0971694,0.0578643,0.0755884
0.1102141,0.0721804,0.0780344,0.0786638,0.1023924,0.0708432666667,0.0997154,0.1261704,0.0713529,0.0935397,0.0612124,0.0849049,0.0764727,0.073344,0.0850134,0.1831891,0.0723924,0.0817534,0.0791338,0.0606545,0.1250542,0.0999419666667,0.1035442,0.0860216,0.0844373,0.0758675,0.0837942333333,0.0973146,0.129818,0.081531,0.0918351,0.1359998,0.0634199,0.1027046,0.0811337,0.0653422,0.0777105,0.1021956,0.0793041,0.0829032,0.087953,0.1301556,0.0715123,0.0840626666667,0.122326633333,0.089776,0.0939677,0.0917372,0.0943326,0.0966709,0.0724081,0.06905,0.1082514,0.0911334,0.0828095,0.1036561,0.1460985,0.068839,0.0866418,0.1067918,0.0600077,0.0824288
0.1205441,0.0770372,0.0858776,0.081307,0.1145558,0.0767854,0.1089945,0.1375566,0.076028,0.1016908,0.0671788,0.0915383,0.0830423,0.0782408,0.0857921,0.1953429,0.0740254,0.089179,0.0853942,0.0591003,0.135114,0.1082465,0.111773,0.0922602,0.0879656,0.0776899,0.0903273,0.1084356,0.1397372,0.0837556,0.1011437,0.1493536,0.0679969,0.1141538,0.0890193,0.0706226,0.0804939,0.10844,0.085219,0.0847258,0.0917452,0.137493,0.074389,0.088412,0.1323933,0.0914868,0.1032879,0.103308,0.1022506,0.1009857,0.0785315,0.073433,0.1139624,0.1009288,0.0890733,0.1156399,0.1668792,0.0712134,0.0974752,0.1202796,0.0643813,0.0895768
0.1314516,0.0841751,0.086528,0.0893574,0.125852,0.0810288,0.1158903,0.1527088,0.0815508,0.1087345,0.0713374,0.1003448,0.0841181,0.0888786,0.0887243,0.2091024,0.081677,0.0977906,0.087467,0.0594129,0.145319,0.1104676,0.1139369,0.094839,0.091337,0.0784279,0.0953394,0.1162092,0.1553352,0.0930208,0.1035911,0.1603224,0.0698397,0.1257599,0.0959868,0.072752,0.0800681,0.1122642,0.0945424,0.089158,0.0957274,0.1427124,0.075784,0.0915705,0.1456341,0.1003284,0.1136523,0.1175344,0.1076642,0.1083067,0.0873749,0.0804788,0.122793,0.1078564,0.0915211,0.1272865,0.1860348,0.076511,0.103039,0.1329758,0.0687447,0.0941175
0.1437219,0.0892398,0.0898826,0.0932504,0.14031,0.0896968,0.1184077,0.163582,0.085171,0.1126834,0.0776718,0.1096464,0.0912488,0.090913,0.0952004,0.218334,0.0837056,0.1033765,0.0911254,0.0614855,0.1529208,0.1215818,0.1218016,0.0997452,0.0943374,0.0857567,0.0992254,0.126477,0.1654056,0.1028124,0.1131535,0.1789088,0.07478,0.1363343,0.1011556,0.077303,0.0832718,0.1174991,0.0981668,0.0965508,0.0999135,0.151534,0.0764453,0.0950079,0.159310833333,0.1070664,0.1237579,0.1258592,0.1112196,0.1181616,0.0946319,0.0835986,0.130678,0.1141246,0.0981074,0.1378142,0.2044176,0.082742,0.1113772,0.1442992,0.0772469,0.1048041
0.1509822,0.0939562,0.0950954,0.0974794,0.148293,0.0968398,0.1272565,0.1734992,0.0893084,0.1181054,0.0846962,0.1227738,0.0981468,0.095925,0.0997923,0.2357126,0.087326,0.1110918,0.0967094,0.0615889,0.1610968,0.1311878,0.1267434,0.1043443,0.0955868,0.0919883,0.1065982,0.1414889,0.1807734,0.1116765,0.1195488,0.2001641,0.0798533,0.1467298,0.112208,0.078258,0.0859702,0.1194206,0.1034319,0.097792,0.1021129,0.1612506,0.0790867,0.0973484,0.175924733333,0.1165612,0.1360263,0.1388048,0.1164399,0.1295392,0.0999479,0.087065,0.1369078,0.1213979,0.1043998,0.1513412,0.2233676,0.091429,0.1193398,0.1578072,0.0782299,0.1145525
0.1582601,0.098032,0.1007066,0.1051932,0.1661734,0.1000914,0.1305401,0.1823424,0.0943212,0.1256298,0.0901678,0.1381314,0.0973058,0.098939,0.1017117,0.2450629,0.0912032,0.1214014,0.1004476,0.0669724,0.171117,0.1369444,0.133919,0.1145057,0.1019408,0.0979708,0.1153438,0.1540159,0.1899448,0.1230882,0.1287101,0.2270519,0.0825871,0.1576744,0.1248604,0.0807936,0.0881646,0.1256728,0.1062054,0.1053285,0.1116349,0.165820466667,0.0809999,0.0978492,0.1894613,0.1233606,0.1534921,0.1471542,0.1237213,0.140887,0.1100628,0.0921288,0.1441358,0.1225673,0.1120268,0.1562562,0.2503334,0.0940172,0.1338098,0.1775762,0.0809176,0.1250164
