0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89
0.2788458,0.1869412,0.167312,0.3053348,0.1786872,0.193267,0.2977454,0.1843232,0.1817828,0.2798766,0.187437,0.190263,0.268284,0.1894604,0.1789896,0.2838754,0.1684116,0.1937582,0.2851038,0.1857584,0.2006538,0.2616546,0.1754718,0.1901744,0.287236,0.1876114,0.1801624,0.2907912,0.1990426,0.1816392,0.2816754,0.1874348,0.1879496,0.2815324,0.2120724,0.1851262,0.272195,0.1890502,0.1762186,0.2729612,0.188283,0.1974108,0.2878784,0.1897972,0.195061,0.293905,0.1787062,0.2042348,0.2634666,0.1973712,0.1961514,0.2749892,0.170578,0.187612,0.283382,0.173548,0.1968406,0.2873768,0.1899924,0.1851056,0.2842988,0.1806952,0.2039602,0.267611,0.190956,0.1853966,0.2664374,0.180358,0.1883962,0.2859754,0.1920204,0.1990544,0.275539,0.1900984,0.1805214,0.2747858,0.1770324,0.1879898,0.2770128,0.1811576,0.1897642,0.2702038,0.16857,0.1884834,0.2763226,0.176945,0.197372,0.2896016,0.1903844,0.1965924
0.284463,0.1920072,0.1731374,0.3117722,0.1838756,0.2006264,0.3026698,0.1894604,0.1850348,0.2849438,0.1927334,0.1956838,0.2772436,0.1942956,0.183682,0.2855468,0.1726954,0.1958424,0.2918226,0.1940612,0.2071252,0.269884,0.1817478,0.2002372,0.2906326,0.1993788,0.186485,0.2922676,0.2054956,0.1878406,0.2839522,0.1930528,0.1923942,0.2861004,0.21497,0.191046,0.2779558,0.1939762,0.1817296,0.2775666,0.195732,0.2000754,0.3019234,0.195967,0.2024756,0.3058168,0.1868646,0.2127858,0.2650848,0.2034144,0.203787,0.279113,0.1781002,0.1913996,0.2869382,0.1790048,0.201907,0.2979006,0.1948294,0.1935518,0.2884054,0.1860094,0.2073662,0.2764992,0.2001722,0.187922,0.2714512,0.1865272,0.1988142,0.297194,0.1995578,0.2089742,0.278313,0.1987034,0.187633,0.2788206,0.1843206,0.1937516,0.283306,0.1866856,0.1941036,0.2742572,0.173992,0.1940824,0.2783122,0.1822596,0.2007038,0.2976554,0.1936908,0.198903
0.2910938,0.1904442,0.1725508,0.312661,0.1873244,0.2062808,0.306865,0.1961448,0.1916664,0.290649,0.1989558,0.2030948,0.2813332,0.1980832,0.1906348,0.286916,0.1757356,0.2018522,0.2976548,0.204123,0.2132048,0.2723552,0.1893916,0.2064412,0.2942062,0.204854,0.195364,0.2964278,0.2064948,0.194542,0.2905302,0.1975326,0.1973176,0.2884828,0.2216506,0.1959716,0.2817076,0.200536,0.1863514,0.283113,0.2001428,0.2068926,0.3029356,0.2012106,0.2076136,0.3117188,0.1941536,0.2169634,0.2731916,0.2076176,0.2078224,0.284251,0.186224,0.1948858,0.289551,0.1822232,0.2080406,0.3059048,0.2046084,0.1973392,0.2939884,0.1925698,0.214778,0.2822594,0.2052562,0.1919522,0.276412,0.1921268,0.2049664,0.3009988,0.2055396,0.2152154,0.2806424,0.2031656,0.1935538,0.285732,0.186222,0.1989786,0.2897598,0.1904532,0.1996682,0.275882,0.1790242,0.2017282,0.2870944,0.1869888,0.2058068,0.3049274,0.198686,0.2051326
0.292036,0.1924176,0.1749388,0.3151152,0.1936716,0.2100824,0.3095148,0.1988116,0.197801,0.2983288,0.204433,0.2064364,0.2882856,0.2027058,0.1966786,0.2905614,0.1795936,0.2044486,0.3010504,0.2092436,0.2215062,0.2756792,0.1935342,0.2123968,0.2976914,0.2072722,0.200147,0.3045704,0.2146196,0.1982212,0.2941914,0.2068124,0.1970504,0.292607,0.2270912,0.199225,0.2807112,0.2019756,0.1907776,0.2883754,0.2015292,0.2130076,0.3041804,0.209051,0.2088762,0.3179764,0.203292,0.2234178,0.2773696,0.2146752,0.2102472,0.2907042,0.1935488,0.2002712,0.291915,0.1840184,0.2061374,0.3102242,0.210563,0.2032984,0.295819,0.1985084,0.2201998,0.282687,0.2082512,0.200928,0.2815494,0.2006074,0.2098542,0.3020472,0.213326,0.2177712,0.2813724,0.2035028,0.1986212,0.2920874,0.1894288,0.2068354,0.2919998,0.1979908,0.2029894,0.279458,0.1814596,0.208252,0.2886056,0.1912726,0.209836,0.3105802,0.2044294,0.2110768
0.297762,0.198089,0.1813736,0.3133358,0.1994492,0.2193622,0.309372,0.2019594,0.1999686,0.30233,0.2094474,0.2100466,0.2851214,0.2086952,0.2013454,0.289956,0.1848572,0.2090892,0.2986332,0.2136714,0.2224844,0.2803896,0.1964314,0.215151,0.3004474,0.2121944,0.2035494,0.3098328,0.219331,0.2054238,0.2975152,0.2100488,0.2003404,0.2961454,0.2289046,0.204611,0.2849968,0.2093358,0.1950824,0.2892646,0.2047136,0.2172426,0.306705,0.2150066,0.211168,0.3222436,0.2067232,0.2306574,0.2753614,0.2198836,0.214277,0.2952378,0.1974256,0.2032226,0.2949202,0.187289,0.2127158,0.3111134,0.2147042,0.2104308,0.301242,0.203059,0.2244528,0.2773168,0.2125184,0.2024678,0.2868102,0.204607,0.2154896,0.304057,0.2181362,0.2237786,0.285266,0.2063464,0.2024586,0.2957996,0.196588,0.211491,0.2950178,0.2040722,0.20875,0.2901446,0.1860808,0.2147948,0.2885882,0.1929436,0.2161996,0.3119506,0.2086592,0.2180452
0.2961974,0.2045774,0.1875248,0.3137444,0.2040194,0.2267932,0.3125368,0.2063144,0.2006268,0.302916,0.213376,0.2138004,0.286952,0.211558,0.2058506,0.2938498,0.1885,0.214297,0.2992722,0.2229148,0.2299604,0.284711,0.199898,0.2157024,0.3009452,0.214561,0.2107308,0.3126058,0.2202012,0.2094058,0.300199,0.2146354,0.202989,0.30468,0.2316416,0.2119136,0.287663,0.212075,0.198525,0.2919668,0.2122946,0.2202292,0.311113,0.2202518,0.2160234,0.3219782,0.2120562,0.2382288,0.2749646,0.2226134,0.2189342,0.303399,0.2000738,0.206991,0.2993464,0.1917512,0.2190084,0.3147762,0.2186858,0.2141766,0.3042106,0.2016108,0.2252894,0.2820862,0.2171582,0.2047436,0.2948638,0.208411,0.215519,0.3067766,0.2205534,0.2282884,0.2892304,0.2121958,0.209054,0.2968402,0.2030054,0.214008,0.2973594,0.2072192,0.2109716,0.2936644,0.192019,0.2171594,0.2963934,0.1963206,0.2216554,0.3173548,0.2151122,0.2216894
0.2940998,0.2051104,0.1959804,0.3172998,0.207297,0.225888,0.313354,0.2154886,0.2038754,0.310152,0.21238,0.2178734,0.2907214,0.2114168,0.2093856,0.2973748,0.193033,0.219543,0.299108,0.2285336,0.2334364,0.284357,0.2105282,0.2177298,0.3009984,0.2175032,0.2128178,0.307041,0.2227372,0.2151648,0.300589,0.2190974,0.2088208,0.3085364,0.2320658,0.2118862,0.2911134,0.216377,0.203309,0.2885892,0.2166598,0.2286556,0.3161256,0.2269894,0.2198806,0.3256748,0.2139062,0.241732,0.2756936,0.2242848,0.22579,0.3046958,0.2055142,0.2089818,0.2993468,0.1955568,0.2228246,0.3173374,0.2237338,0.2206652,0.307802,0.2055764,0.2287084,0.2873312,0.2195412,0.2091024,0.2977108,0.2131404,0.2219386,0.31163,0.224964,0.2338178,0.292021,0.2167108,0.2109034,0.2991332,0.2064174,0.2205324,0.3022486,0.2117696,0.2120026,0.2941922,0.1935836,0.223165,0.2995394,0.1976922,0.2277534,0.3177806,0.215648,0.2245696
0.2941002,0.2100358,0.2008874,0.316632,0.2095426,0.2294434,0.317959,0.2219408,0.2092476,0.3102586,0.213447,0.2178918,0.2955756,0.2147764,0.2131962,0.297671,0.1948104,0.2241016,0.3050812,0.2307742,0.2398814,0.2831058,0.2137284,0.2256034,0.3012994,0.2224806,0.2174864,0.3092452,0.2243512,0.2176774,0.2990426,0.221481,0.2119316,0.312892,0.23674,0.2173084,0.2911312,0.2178168,0.2056464,0.2890684,0.21913,0.228333,0.317744,0.2325408,0.2251602,0.3265832,0.2152408,0.2451444,0.2784666,0.2299382,0.2295232,0.305372,0.2079152,0.2113456,0.3043956,0.1990584,0.2313402,0.3147588,0.226383,0.2246306,0.3100744,0.2097548,0.2286536,0.2852334,0.2208384,0.2119474,0.2994862,0.2169442,0.2273066,0.3073474,0.2284308,0.2382152,0.2954884,0.222097,0.2121468,0.2998446,0.209565,0.223572,0.3005366,0.2131746,0.217425,0.297682,0.1964814,0.227539,0.2972988,0.1995236,0.2323008,0.3210168,0.2206792,0.2276508
0.2989,0.2122864,0.2068936,0.3159912,0.211222,0.2306036,0.3194324,0.224111,0.2122346,0.3118236,0.2176418,0.2198648,0.2954732,0.2189538,0.216556,0.302648,0.1995038,0.2270342,0.3097922,0.2402684,0.2440404,0.28595,0.21403,0.2244298,0.306845,0.2276824,0.218176,0.3104532,0.2282638,0.218868,0.2982068,0.2278442,0.215328,0.3121628,0.239736,0.219371,0.2957896,0.2190428,0.2101642,0.2914146,0.2199312,0.2360128,0.320056,0.2377076,0.2318092,0.3217662,0.2165192,0.2492356,0.283462,0.2313184,0.2316696,0.3073268,0.2123232,0.2173534,0.3025808,0.2050668,0.2348248,0.3151006,0.2292088,0.2271826,0.315799,0.212902,0.2312572,0.2833132,0.2263144,0.2142998,0.2999308,0.2219394,0.2298134,0.310761,0.233835,0.2418266,0.294315,0.225849,0.2139958,0.2992922,0.2125514,0.2290474,0.300695,0.2193972,0.220333,0.301119,0.2001436,0.2296742,0.3015128,0.1987594,0.2368786,0.3276124,0.2223502,0.227669
0.3037004,0.2134576,0.211208,0.3142222,0.2167518,0.2331344,0.3195682,0.2275952,0.2121282,0.3184206,0.2186844,0.2254692,0.294438,0.221993,0.2210238,0.299181,0.2020118,0.2304116,0.3114328,0.243753,0.2454994,0.2839238,0.2164836,0.2279838,0.3080012,0.234384,0.219333,0.3149158,0.229827,0.2233192,0.2954516,0.2287524,0.2198618,0.3112504,0.2429376,0.2259182,0.2937972,0.224944,0.2121468,0.2947204,0.2228808,0.2391404,0.3211238,0.243504,0.2357388,0.3229092,0.2226206,0.2507112,0.2919256,0.2330068,0.2361506,0.3089458,0.2136364,0.2172458,0.299346,0.2047114,0.236396,0.3160396,0.2325158,0.2313432,0.312709,0.213613,0.2363952,0.2831712,0.2320936,0.216967,0.303806,0.2257978,0.2344894,0.3166628,0.2400748,0.2428738,0.2993636,0.2280182,0.2152038,0.2985314,0.2175822,0.2316474,0.302188,0.2265962,0.2207064,0.3009776,0.203148,0.2318966,0.3048552,0.2003228,0.2419846,0.3298876,0.2267058,0.2311886
