0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84
0.009978,0.0151766,0.0098952,0.0154798,0.0102224,0.0149478,0.0140736,0.0095842,0.01554,0.0098236,0.0157658,0.0111188,0.0095086,0.0150396,0.0161254,0.009349,0.0157492,0.012372,0.0162194,0.0104902,0.0093972,0.0151526,0.0154728,0.01011,0.009442,0.0142766,0.0151802,0.0101286,0.015946,0.0156362,0.010617,0.0147374,0.0147612,0.0097236,0.0156094,0.015559,0.0098356,0.0161324,0.009703,0.0109338,0.015541,0.010263,0.0152288,0.0099922,0.0161232,0.0109086,0.0153938,0.009532,0.014923,0.0149714,0.0096928,0.0100558,0.0152502,0.014963,0.0103882,0.015777,0.015275,0.010012,0.0101382,0.0158652,0.0160678,0.0101838,0.0149864,0.009306,0.0146292,0.0159968,0.0089966,0.015119,0.0160986,0.010602,0.0157486,0.0159038,0.0102724,0.0097398,0.01671,0.015394,0.0106898,0.0149576,0.0153868,0.0108536,0.0160108,0.0157066,0.0090408,0.0157774,0.014365
0.0103834,0.0155422,0.0102548,0.0151312,0.0105978,0.0153454,0.0139914,0.0099212,0.015803,0.0100634,0.0157728,0.0107458,0.0097106,0.0147426,0.0158574,0.0094858,0.0155528,0.0122486,0.0162526,0.0105906,0.0094484,0.0153516,0.0156864,0.010113,0.0098344,0.0142208,0.0149766,0.0101334,0.0158014,0.0155666,0.0107728,0.0151606,0.0146462,0.0095892,0.016062,0.0154022,0.0098152,0.0163442,0.0097354,0.0107718,0.0154264,0.0100272,0.0152452,0.0098504,0.016235,0.0106762,0.0152924,0.0096914,0.0151286,0.014872,0.0094302,0.0102118,0.0152886,0.015001,0.0107724,0.0156314,0.0155524,0.0100838,0.0102658,0.0160012,0.0161074,0.0104212,0.0149742,0.0098844,0.0145244,0.0161004,0.0091186,0.0150652,0.0162092,0.0108858,0.0156398,0.0159934,0.0100562,0.0100932,0.0167528,0.0156568,0.0108596,0.0151208,0.014994,0.011049,0.0157464,0.0156994,0.0092486,0.0156842,0.01444
0.0104876,0.015571,0.0102102,0.015391,0.010667,0.015754,0.0139132,0.0098328,0.0159314,0.0102856,0.015892,0.0110424,0.0100394,0.0149936,0.0159022,0.0097002,0.0153472,0.0119876,0.0166222,0.0107454,0.0097726,0.0156014,0.015989,0.0106432,0.0101126,0.013927,0.0149578,0.0100868,0.016201,0.0156436,0.010708,0.0153204,0.0143206,0.0100258,0.0160472,0.01523,0.0097684,0.016366,0.0101704,0.0108618,0.0159244,0.0102054,0.0154274,0.0102212,0.016058,0.0111044,0.0153606,0.0100818,0.0152218,0.0152236,0.0096204,0.0103126,0.0151826,0.0151894,0.0110168,0.0157084,0.0155176,0.0098952,0.0103328,0.0156408,0.016552,0.0103624,0.0155046,0.0101872,0.014907,0.0160636,0.0093318,0.015446,0.016294,0.0110608,0.0156806,0.0161114,0.0102304,0.0098836,0.0166854,0.0157664,0.0112316,0.0148804,0.0150588,0.0107842,0.0160126,0.0158418,0.0096706,0.0155118,0.0148346
0.0106366,0.0157494,0.0106414,0.0158278,0.010647,0.015836,0.0139274,0.009738,0.0160122,0.0101266,0.0157306,0.0111872,0.010343,0.0152194,0.015599,0.0097688,0.0154456,0.0120794,0.0167086,0.0107852,0.009912,0.0159608,0.0159872,0.0108284,0.0097536,0.0141866,0.0152194,0.0099186,0.0162768,0.0158046,0.0107354,0.0150062,0.0146744,0.010358,0.0163834,0.015649,0.0097772,0.0163882,0.0105286,0.0113504,0.015436,0.0102748,0.015591,0.0104856,0.0160614,0.0110114,0.0155114,0.0106024,0.0156274,0.0151038,0.0103428,0.0105256,0.0154734,0.0154978,0.0106976,0.0157048,0.0157038,0.0099178,0.0105944,0.0153028,0.0164568,0.0102086,0.0155156,0.01056,0.0149656,0.0159968,0.0098796,0.0153998,0.0162696,0.0112394,0.015536,0.0159866,0.010289,0.0100732,0.0168406,0.015955,0.010695,0.0150344,0.0151992,0.0104826,0.0158424,0.0160852,0.0097828,0.0158514,0.014443
0.0106196,0.015834,0.0106702,0.0156496,0.0109926,0.0154312,0.0141626,0.009955,0.0162174,0.0100632,0.0163518,0.0115902,0.0106292,0.0152606,0.015513,0.0099756,0.0156746,0.0125146,0.0167462,0.0106314,0.0099998,0.0159008,0.0158032,0.0109476,0.0102528,0.0147954,0.0153652,0.0101288,0.0166292,0.0158306,0.011505,0.0148034,0.014632,0.010265,0.0167014,0.0158564,0.0097282,0.0162692,0.0104252,0.0115828,0.0157952,0.0107538,0.0158922,0.0103572,0.0159378,0.0112778,0.0155454,0.0103042,0.0152382,0.015352,0.010364,0.0107088,0.0156324,0.0158826,0.0106458,0.015954,0.0160324,0.0099594,0.010632,0.0155194,0.0161656,0.0102382,0.0153644,0.0108266,0.015292,0.0159768,0.0099562,0.015232,0.0166914,0.011699,0.0157028,0.015734,0.0111556,0.0105664,0.0168132,0.0158362,0.0109064,0.0149118,0.0153962,0.0101026,0.0159204,0.016477,0.0102508,0.0160356,0.0146448
0.0106564,0.0157926,0.010658,0.0162646,0.0111286,0.0156246,0.014853,0.0101346,0.0159266,0.010445,0.0164722,0.011782,0.0105354,0.0152156,0.0158826,0.0102728,0.0155934,0.0124916,0.0167562,0.0110102,0.010305,0.015609,0.0160206,0.0110376,0.0104538,0.0148458,0.0149968,0.0103906,0.0162836,0.0160876,0.0116398,0.0152168,0.014689,0.0104344,0.016524,0.0159028,0.010211,0.0165544,0.0104146,0.01202,0.015446,0.010935,0.0161,0.0108564,0.016133,0.0112482,0.0157338,0.010593,0.0153068,0.015361,0.010584,0.0108052,0.015621,0.016038,0.0111866,0.0162824,0.0159912,0.0099202,0.010761,0.0152172,0.0161104,0.0105178,0.0154598,0.0109426,0.0153172,0.016105,0.0100496,0.0148724,0.0168388,0.0113968,0.0159738,0.0159246,0.0111766,0.0104632,0.0164104,0.0158952,0.011121,0.0152792,0.0153122,0.0103786,0.0166646,0.0163194,0.0103418,0.0161876,0.0149694
0.0108096,0.0157612,0.0106356,0.0161064,0.011245,0.0160474,0.0149176,0.0105956,0.0161282,0.0106534,0.0162794,0.0121432,0.010799,0.0155674,0.0158024,0.0099158,0.0157202,0.0126326,0.0168764,0.0113454,0.0104238,0.015782,0.016043,0.0115646,0.0103364,0.0151446,0.0149428,0.0110526,0.0162032,0.015915,0.0123506,0.0158232,0.01502,0.0107282,0.0162752,0.0158418,0.010421,0.0167398,0.0105372,0.0116904,0.0159292,0.0108386,0.0157552,0.0108144,0.0162466,0.011461,0.015576,0.0109804,0.0157564,0.015373,0.0104764,0.0112206,0.0157528,0.0156252,0.0110022,0.0164158,0.0164892,0.0103026,0.0110696,0.0155366,0.0160232,0.010707,0.015674,0.010774,0.0153098,0.0159038,0.010511,0.0153736,0.016833,0.0114754,0.0159804,0.0161912,0.0109676,0.0104434,0.016791,0.016277,0.0110056,0.0152196,0.0155734,0.0104088,0.0164568,0.0167174,0.0104958,0.0165236,0.014993
0.0107966,0.0160326,0.010705,0.0155794,0.0112774,0.0160206,0.0149138,0.0107636,0.0161416,0.0108156,0.016563,0.0126772,0.0108726,0.0157952,0.0159114,0.0103504,0.0160912,0.0125554,0.0168846,0.011288,0.0107732,0.0156844,0.0160846,0.0119164,0.0101078,0.014975,0.0152038,0.010837,0.0164238,0.0164688,0.0125218,0.0162622,0.0151562,0.010959,0.0165094,0.0162074,0.0102266,0.0164664,0.0107758,0.0119358,0.0161844,0.0106954,0.0160472,0.011068,0.0163324,0.0112562,0.0158454,0.01137,0.01593,0.015642,0.010474,0.0113004,0.0156618,0.015752,0.0108126,0.0164916,0.0164958,0.0106302,0.0112088,0.0155038,0.0164844,0.0112686,0.01555,0.010685,0.0154162,0.016223,0.0107576,0.0154564,0.0169482,0.011761,0.0159688,0.0161736,0.0112358,0.0106824,0.0168534,0.0162606,0.011007,0.015261,0.015262,0.0103306,0.0164472,0.016652,0.0105152,0.0168076,0.0151792
0.0110346,0.0165406,0.010928,0.0157952,0.0116484,0.0163344,0.0150854,0.0111776,0.016406,0.0109218,0.0167668,0.012553,0.011011,0.0158534,0.0162596,0.0108454,0.0161804,0.012375,0.0168734,0.0111872,0.0109202,0.015911,0.0164878,0.012056,0.0103172,0.0149736,0.0154442,0.0114326,0.0165254,0.0162098,0.0129994,0.0165136,0.0150832,0.0112866,0.0164718,0.016221,0.0102026,0.0164768,0.0113036,0.011913,0.0165058,0.0106632,0.016302,0.0115518,0.0165246,0.0117022,0.01569,0.0115396,0.0160374,0.0151044,0.0103516,0.0111064,0.0157718,0.0158716,0.010865,0.0164096,0.0169648,0.0105564,0.0109022,0.0156188,0.0164824,0.0110442,0.0155946,0.010984,0.0154206,0.0166276,0.010536,0.0153986,0.0170592,0.0118224,0.0159912,0.0156934,0.0118056,0.010718,0.0170786,0.0162012,0.011204,0.0152022,0.0153718,0.0105868,0.0161906,0.0171108,0.01063,0.0170018,0.0151598
0.0113266,0.0162852,0.0112326,0.0156,0.0115736,0.0164312,0.0156346,0.0111188,0.0166806,0.0112392,0.0163984,0.012751,0.0115266,0.0161362,0.0161462,0.010954,0.0165384,0.0122094,0.0170268,0.0110736,0.0108478,0.0160222,0.0164742,0.0116814,0.0101408,0.0150648,0.0154124,0.0116356,0.0164748,0.0163876,0.0130034,0.0165704,0.0154426,0.0114222,0.0162746,0.016188,0.010195,0.0168632,0.0115966,0.0125902,0.0169914,0.0114248,0.0168778,0.0119658,0.0164304,0.0118738,0.0161762,0.0117416,0.0156838,0.0153408,0.0105494,0.0110916,0.015964,0.0159476,0.0112342,0.0163972,0.0168404,0.010382,0.010814,0.0154642,0.0165022,0.010961,0.0158154,0.0110814,0.0158078,0.0169344,0.0101848,0.015491,0.017292,0.0117422,0.0165358,0.0160956,0.0120032,0.0106578,0.0175776,0.0164706,0.011048,0.0153882,0.0150402,0.01056,0.0164774,0.0171154,0.0114488,0.0172744,0.014936
