0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66
0.0435561,0.0841382,0.00532095,0.0700998,0.0462103,0.04585485,0.03823788,0.07440105,0.0645483666667,0.0514618,0.06477975,0.0857,0.0454345,0.0515916,0.0713866,0.0778023,0.1032467,0.0410607,0.0969133,0.0579899,0.0668339,0.0505872,0.0567439,0.0510095,0.0695653,0.0809244,0.0833202,0.0648805,0.0730482,0.0602688,0.0961712,0.04806425,0.095666,0.08687835,0.0958388,0.0544652,0.0797389,0.0495309,0.0319338,0.0739687,0.03013,0.0812328,0.0574253,0.0398283,0.05949575,0.0572086,0.0747289,0.0836717,0.03894255,0.0904768,0.0543593,0.0577375,0.0567436,0.0432678,0.02999745,0.0685046,0.03402948,0.1009575,0.0530596,0.0513045,0.0495647,0.0447736,0.05167155,0.0471101,0.0698364,0.0427654,0.070019
0.0499065,0.0802544,0.02004423,0.0748436,0.0625235,0.04448405,0.0506154,0.08780255,0.0605711,0.0557037,0.07608235,0.0946469,0.03742675,0.0498792,0.0653089,0.0814716,0.105907,0.0459428,0.1019082,0.03972065,0.07466665,0.0610164,0.0687891,0.05365915,0.0449249,0.0963017,0.0909716,0.0586499,0.0821763,0.0731005,0.0996737,0.04528925,0.1158565,0.0796049,0.1205788,0.0606513,0.0763962,0.0728184,0.0377582,0.1008338,0.02086895,0.08128158,0.0560679,0.044951,0.0545235,0.0742902,0.0884789,0.0958058,0.04166125,0.1107639,0.0546291,0.0615894,0.04559613,0.0487211,0.0348588,0.0749524,0.04203048,0.096963,0.0350932,0.0619169,0.0560087,0.0470312,0.04296355,0.0572034,0.0872861,0.049281,0.063753
0.05268635,0.0792124,0.01765308,0.08654065,0.0739748,0.06636755,0.0525303,0.0861745,0.04683785,0.0727071,0.0745433,0.0960657,0.0281281,0.0454339,0.0578928,0.0636898,0.10345,0.0398288,0.1002416,0.05743885,0.0767899,0.0607418,0.0681596,0.06230215,0.056867,0.0915913,0.0955782,0.0703958,0.0875148,0.0798623,0.1061218,0.0488502,0.1249361,0.0719424,0.1073684,0.0752761,0.07805285,0.082098,0.0459403,0.1012082,0.0320522,0.08932948,0.0679345,0.0516851,0.0553626,0.0724408,0.080022,0.096598,0.046408,0.1139809,0.05359845,0.0679281,0.06302865,0.0535206,0.03047605,0.0917194,0.04799488,0.10712,0.03935235,0.0608676,0.0631644,0.0629912,0.0386234,0.0530718,0.0900153,0.05735735,0.0625376
0.0499812,0.0777909,0.03259378,0.08749265,0.0960373,0.0816597,0.0630169,0.0973198,0.05878495,0.082832,0.0690658,0.0845726,0.0473964,0.0531648,0.06809,0.0594851,0.0874341,0.0299071,0.1014396,0.05493435,0.0708522,0.0662364,0.0672531,0.05634965,0.0629625,0.0746019,0.1017935,0.0795516,0.095257,0.0863776,0.1112449,0.04888835,0.1261802,0.0833991,0.1121875,0.0777231,0.0734249,0.0739164,0.0574005,0.0911402,0.03609825,0.08520295,0.0671438,0.0433611,0.0608437,0.073979,0.074981,0.1016171,0.04880025,0.1010114,0.04999955,0.0734713,0.0668678,0.0527584,0.03751395,0.0894696,0.04822348,0.1104873,0.0325123,0.081136,0.0596063,0.066319,0.0599503,0.0500681,0.0837454,0.05357295,0.079671
0.0575876,0.0872808,0.03804063,0.0949398,0.0846024,0.0790404,0.05950485,0.1111902,0.0592253,0.0868892,0.06921795,0.0956504,0.032239,0.0615848,0.081907,0.0710137,0.0860436,0.0366272,0.1030894,0.04746325,0.0760952,0.0700299,0.074724,0.06131325,0.0661521,0.0858897,0.115041,0.088531,0.1018743,0.1001224,0.1241417,0.0468523,0.130808,0.0848558,0.1322503,0.0792661,0.0658938,0.0858503,0.06191975,0.088912,0.04415035,0.0712686,0.085153,0.0555723,0.05247125,0.0872137,0.0791447,0.0954441,0.06157895,0.0957427,0.0450269,0.0643393,0.0727312,0.0550778,0.0358475,0.0859495,0.04788138,0.1247682,0.03980185,0.0870179,0.0621581,0.0825865,0.0631941,0.0563414,0.0841304,0.05785305,0.0953867
0.0407647,0.0970643,0.0352206,0.0912296,0.0790512,0.0830126,0.060959,0.1086025,0.0684078,0.0963826,0.0754293,0.1067927,0.041454,0.0576119,0.1006588,0.0844186,0.1097341,0.03054245,0.1069891,0.0497026,0.0663965,0.0729422,0.0956355,0.0699496,0.0708117,0.0826736,0.1121753,0.083865,0.1178283,0.1033889,0.1217965,0.0530775,0.1110619,0.0834541,0.1259554,0.0776146,0.0835894,0.0808877,0.0688478166667,0.0930598,0.0550705,0.0757893,0.0968929,0.0594915,0.05092188,0.0937253,0.0841613,0.0972297,0.06620065,0.1027955,0.0632685,0.0855148,0.0781431,0.0606163,0.04504795,0.0938644,0.05014075,0.1139606,0.0396546,0.1020602,0.05999925,0.0814542,0.0632484,0.06007955,0.1124384,0.04088306,0.1017298
0.04314715,0.1170255,0.02717375,0.0962127,0.088292,0.0736767,0.0510573,0.1217431,0.0694747,0.1141129,0.0799304,0.1108909,0.0339372,0.0589801,0.08728,0.0963074,0.1063972,0.03952085,0.1040278,0.05129035,0.0727188,0.07791525,0.1169228,0.0719712,0.070489,0.0744153,0.1246846,0.0898665,0.1277068,0.1153612,0.1360219,0.0537958,0.1109397,0.0788733,0.1266062,0.0859086,0.0832305,0.1089944,0.0578553166667,0.1181529,0.051734,0.0676632,0.1003067,0.0462898,0.05863313,0.0888733,0.0837893,0.0876673,0.0708572,0.1278157,0.0634428,0.07783155,0.0729831,0.0665576,0.03698645,0.0916244,0.04675215,0.1091406,0.03606045,0.0943188,0.06261746,0.0958947,0.0599128,0.06901585,0.1071447,0.0270608,0.1067406
0.04471865,0.1089448,0.0344295333333,0.0966367,0.086685,0.0962947,0.0485583,0.1114859,0.07825095,0.1214953,0.0808715,0.1026715,0.0465415,0.05791525,0.0837773,0.0926057,0.0933551,0.04713935,0.1111449,0.0540526,0.087522,0.0726952,0.0966084,0.0638046,0.0865655,0.0831892,0.1160289,0.0874511,0.1153697,0.1062001,0.1257466,0.0633348,0.1025091,0.0868466,0.1117375,0.0783289,0.08607845,0.1114215,0.0638582666667,0.1022011,0.0440325,0.0785216,0.1014942,0.0591527,0.06469898,0.1016795,0.0896288,0.0858617,0.0591936,0.1163396,0.0684653,0.076954,0.0652247,0.0803622,0.04117745,0.0862409,0.05581449,0.1242276,0.03665505,0.0777704,0.065892,0.0983644,0.0613577,0.06559515,0.1097527,0.02667888,0.118005
0.04488645,0.1109137,0.0418030333333,0.0970127,0.0987158,0.1005642,0.0672701,0.1290179,0.07265675,0.1268324,0.0720218,0.1020075,0.046018,0.04714055,0.0921577,0.099302,0.0927991,0.05251885,0.1162846,0.0524957,0.0834392,0.0749542,0.1071048,0.0640767,0.0828586,0.0808124,0.1117195,0.0887827,0.1153694,0.1031976,0.1273772,0.05941965,0.1139513,0.08567315,0.1330523,0.0802203,0.08180625,0.1252608,0.0588735666667,0.1251712,0.0477606,0.0782687,0.0972251,0.0635347,0.05902385,0.1106007,0.0991934,0.0969386,0.0530631,0.0970127,0.0651295,0.0856907,0.0768889,0.0826853,0.0519868,0.0921082,0.06820395,0.1303676,0.0463067,0.0918373,0.0680347,0.0963721,0.0722611,0.0609669,0.1088531,0.03041648,0.1219068
0.05392175,0.1225134,0.0409614333333,0.0901655,0.0962207,0.1263039,0.0821812,0.1211993,0.0811783,0.1135124,0.0792854,0.1086148,0.0546844,0.04224725,0.0912092,0.099589,0.1004141,0.04573155,0.1069743,0.0696674,0.0879026,0.081699,0.1116701,0.0671568,0.0789739,0.0876636,0.1010421,0.0859031,0.1157727,0.111819,0.1261615,0.06772525,0.1360324,0.0975832,0.1367193,0.0876601,0.08417115,0.1288016,0.0445877,0.1171862,0.0507186,0.0767689,0.0967889,0.0665171,0.06292605,0.0953906,0.0893781,0.1048058,0.0482274,0.0904214,0.06496693,0.0990815,0.0765696,0.0741303,0.0602837,0.109161,0.06619435,0.1325099,0.05814365,0.1025667,0.0706459,0.106591,0.0688388,0.0628864,0.1287812,0.03385593,0.119055
