0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74
0.1137,0.1222,0.1009,0.1272,0.1164,0.1283,0.1183,0.1446,0.1096,0.1331,0.137,0.1414,0.0942,0.1263,0.1375,0.1842,0.1318,0.0894,0.1506,0.1087,0.101,0.1196,0.0952,0.1346,0.1379,0.1251,0.1254,0.1741,0.1206,0.099,0.0903,0.1263,0.102,0.1341,0.1357,0.1514,0.0875,0.1486,0.0914,0.1668,0.1525,0.1355,0.162,0.1192,0.126,0.1407,0.1299,0.1283,0.1009,0.1311,0.0924,0.1725,0.1453,0.0936,0.1645,0.1077,0.1283,0.108,0.1471,0.1475,0.1202,0.1137,0.1403,0.1264,0.099,0.1148,0.1581,0.1164,0.1173,0.1572,0.1222,0.1318,0.1071,0.1379,0.1125
0.1137,0.1222,0.1038,0.1272,0.1164,0.1283,0.1183,0.1446,0.1096,0.1331,0.137,0.1529,0.0942,0.1331,0.1375,0.1842,0.1318,0.0894,0.1506,0.1087,0.1096,0.1196,0.0972,0.1346,0.1379,0.1251,0.1254,0.1741,0.1639,0.099,0.0903,0.1292,0.1173,0.1341,0.1357,0.1514,0.0875,0.1486,0.0914,0.1668,0.1525,0.1355,0.162,0.1192,0.126,0.1407,0.1299,0.1283,0.1009,0.1398,0.0924,0.1725,0.1453,0.0936,0.1645,0.1077,0.1283,0.108,0.1471,0.1475,0.1202,0.1137,0.1403,0.1264,0.099,0.1148,0.1581,0.1164,0.1231,0.1572,0.1222,0.1318,0.1071,0.1379,0.1125
0.1137,0.1222,0.1038,0.1272,0.1164,0.1283,0.1183,0.1446,0.1096,0.1331,0.1766,0.1529,0.0942,0.1331,0.1375,0.1842,0.1346,0.099,0.1506,0.1087,0.1096,0.1196,0.0972,0.1346,0.1379,0.1251,0.1254,0.1741,0.1639,0.099,0.0903,0.1292,0.1173,0.1341,0.1357,0.1514,0.0952,0.1486,0.1125,0.1668,0.1525,0.1355,0.162,0.1202,0.126,0.1407,0.1299,0.1283,0.1009,0.1398,0.0924,0.1725,0.1453,0.0936,0.1645,0.1077,0.1283,0.108,0.1471,0.1475,0.1202,0.1137,0.1403,0.1264,0.099,0.1148,0.1581,0.1164,0.1231,0.1572,0.1222,0.1318,0.1071,0.1379,0.1125
0.1137,0.1222,0.1192,0.1272,0.1164,0.1283,0.1183,0.1446,0.1116,0.1331,0.1766,0.1529,0.0942,0.1331,0.1375,0.1842,0.1346,0.099,0.1506,0.1096,0.1096,0.1196,0.0972,0.1346,0.1379,0.1251,0.1254,0.1741,0.1639,0.099,0.0903,0.1312,0.1173,0.1341,0.1357,0.1514,0.0952,0.1486,0.1125,0.1668,0.1525,0.1355,0.162,0.1202,0.126,0.1407,0.1299,0.1283,0.1009,0.1398,0.1096,0.1725,0.1453,0.0936,0.1645,0.1077,0.1283,0.1128,0.1471,0.1475,0.1202,0.1137,0.1403,0.1264,0.099,0.1148,0.1581,0.1164,0.1231,0.1572,0.1222,0.1318,0.1148,0.1379,0.1125
0.1137,0.1222,0.1192,0.1272,0.126,0.1283,0.1183,0.1446,0.1116,0.1331,0.1766,0.1558,0.0942,0.1331,0.1375,0.1842,0.1346,0.099,0.1506,0.1144,0.1096,0.1196,0.0972,0.1346,0.1669,0.1279,0.1322,0.1741,0.1639,0.1057,0.0903,0.1331,0.1203,0.1341,0.1357,0.1514,0.0952,0.1486,0.1125,0.1668,0.1525,0.1355,0.162,0.1202,0.126,0.1407,0.1299,0.1283,0.1009,0.1398,0.1096,0.1725,0.1453,0.0936,0.1645,0.1077,0.1283,0.1157,0.1471,0.1475,0.1202,0.1137,0.1403,0.1264,0.099,0.1148,0.1581,0.1164,0.1279,0.1572,0.1222,0.1318,0.1148,0.1379,0.1125
0.1137,0.1222,0.1192,0.1272,0.126,0.1379,0.125,0.1446,0.1116,0.1331,0.1766,0.1558,0.0942,0.1331,0.1375,0.1842,0.1414,0.099,0.1506,0.1144,0.1096,0.1196,0.0972,0.1346,0.1669,0.1279,0.1322,0.1741,0.1639,0.1057,0.0903,0.1331,0.1203,0.1341,0.1357,0.1514,0.0962,0.1486,0.1125,0.1668,0.1525,0.1355,0.162,0.1202,0.126,0.1641,0.1299,0.1283,0.1009,0.1398,0.1096,0.1725,0.1453,0.0936,0.1731,0.1077,0.1312,0.1157,0.1471,0.1505,0.1202,0.1137,0.1413,0.1264,0.099,0.1148,0.1581,0.1164,0.1279,0.1572,0.1222,0.1318,0.1148,0.1379,0.1125
0.1137,0.1222,0.1192,0.1272,0.126,0.1379,0.125,0.1446,0.1116,0.1331,0.1766,0.1558,0.0942,0.1331,0.1471,0.1842,0.1414,0.099,0.1506,0.1144,0.1096,0.1196,0.0972,0.1346,0.1669,0.1347,0.1322,0.1741,0.1639,0.1057,0.0903,0.1331,0.1203,0.1341,0.1357,0.1514,0.1153,0.1486,0.1125,0.1668,0.1525,0.1355,0.162,0.1202,0.126,0.1641,0.1299,0.1283,0.1009,0.1562,0.1096,0.1725,0.1453,0.0936,0.1731,0.1077,0.1312,0.1157,0.1471,0.1505,0.1202,0.1137,0.1413,0.1264,0.099,0.1148,0.1581,0.1164,0.1279,0.1572,0.1222,0.1318,0.1572,0.1379,0.1125
0.1137,0.1222,0.1192,0.1272,0.126,0.1379,0.125,0.1446,0.1116,0.1331,0.1766,0.1616,0.1125,0.1331,0.1471,0.1842,0.1414,0.099,0.1506,0.1183,0.1096,0.1196,0.0972,0.1346,0.1669,0.1347,0.1322,0.1741,0.1639,0.1057,0.1059,0.1331,0.1299,0.1341,0.1357,0.1514,0.1153,0.1486,0.1125,0.1668,0.1525,0.1355,0.162,0.1336,0.126,0.1641,0.1299,0.1283,0.1009,0.1562,0.1096,0.1725,0.1453,0.0936,0.1731,0.1077,0.1312,0.1157,0.1471,0.1505,0.1202,0.1137,0.1413,0.1494,0.1164,0.1148,0.1581,0.1164,0.1279,0.1572,0.1222,0.1318,0.1572,0.1379,0.1125
0.1137,0.1308,0.1192,0.1272,0.126,0.1379,0.1366,0.1446,0.1116,0.1331,0.1766,0.1616,0.1125,0.1331,0.1471,0.1842,0.1414,0.099,0.1506,0.1183,0.1096,0.1196,0.0972,0.1346,0.1669,0.1347,0.1322,0.1741,0.1639,0.1057,0.1059,0.1331,0.1299,0.1341,0.1357,0.1514,0.1153,0.1486,0.1125,0.1668,0.1525,0.1355,0.162,0.1336,0.126,0.1641,0.1299,0.1283,0.1009,0.1562,0.1096,0.1725,0.1453,0.0954,0.1731,0.1096,0.1312,0.1176,0.1471,0.1505,0.1202,0.1137,0.1413,0.1494,0.1164,0.1148,0.1581,0.1164,0.1279,0.1572,0.1222,0.1318,0.1572,0.1379,0.1125
0.1137,0.1308,0.1192,0.1272,0.1414,0.1379,0.1366,0.1446,0.1116,0.1331,0.1766,0.1616,0.1125,0.1331,0.1471,0.1842,0.1462,0.099,0.1506,0.1183,0.1096,0.1196,0.102,0.1346,0.1669,0.1347,0.1322,0.1741,0.1639,0.1059,0.1059,0.1331,0.1299,0.1341,0.1357,0.1514,0.1153,0.1486,0.1125,0.1668,0.1525,0.1355,0.162,0.1336,0.126,0.1641,0.1299,0.1283,0.1009,0.1562,0.1096,0.1725,0.1453,0.1044,0.1731,0.1096,0.1312,0.1176,0.1471,0.1505,0.1202,0.1137,0.1413,0.1494,0.1164,0.1148,0.1581,0.1164,0.1279,0.1572,0.1222,0.1318,0.1572,0.1379,0.1125
