0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122
0.343,0.2365,0.359,0.2535,0.3798,0.2224,0.3877,0.2357,0.3228,0.236,0.3513,0.2334,0.3548,0.2447,0.4144,0.2451,0.3242,0.2224,0.3915,0.238,0.3242,0.2434,0.3618,0.231,0.3719,0.2363,0.3541,0.231,0.3828,0.2202,0.3924,0.2557,0.3377,0.2385,0.3863,0.245,0.3242,0.2185,0.409,0.4071,0.2604,0.3734,0.2474,0.3825,0.2275,0.3264,0.2605,0.3558,0.2346,0.3912,0.2495,0.2446,0.3703,0.2417,0.3228,0.2528,0.4052,0.271,0.3876,0.2486,0.3541,0.2322,0.3642,0.2282,0.3967,0.2416,0.3548,0.2453,0.4238,0.2357,0.3513,0.2233,0.3521,0.2298,0.3548,0.2243,0.4148,0.3695,0.2429,0.3787,0.2257,0.3806,0.231,0.4076,0.2344,0.3531,0.2357,0.3548,0.2717,0.4338,0.2392,0.3344,0.2376,0.4199,0.238,0.3255,0.2225,0.3718,0.2392,0.3548,0.2165,0.3674,0.2734,0.3366,0.2613,0.4071,0.2357,0.3548,0.2474,0.3981,0.2628,0.3625,0.2497,0.3737,0.2476,0.3081,0.2474,0.4121,0.2357,0.4034,0.2474,0.4043,0.2357
0.343,0.2365,0.3796,0.2535,0.3798,0.2224,0.4071,0.2357,0.3324,0.236,0.3513,0.2334,0.3548,0.2447,0.4144,0.2451,0.3242,0.2224,0.3915,0.245,0.3548,0.2434,0.3618,0.2392,0.3719,0.2363,0.3541,0.231,0.385,0.2202,0.3924,0.2557,0.3377,0.2385,0.3863,0.245,0.3642,0.2185,0.409,0.4071,0.2604,0.3734,0.2474,0.3825,0.2322,0.3264,0.2605,0.3558,0.2628,0.3912,0.2495,0.2446,0.3703,0.2417,0.3264,0.2528,0.4052,0.271,0.3876,0.2486,0.3541,0.2322,0.3642,0.2282,0.3967,0.2416,0.3548,0.2516,0.4238,0.2357,0.3513,0.225,0.3521,0.2298,0.3548,0.2243,0.4148,0.3695,0.2429,0.3787,0.2257,0.3908,0.2557,0.4076,0.2344,0.3531,0.2569,0.3548,0.2717,0.4338,0.2429,0.3344,0.2376,0.4199,0.2415,0.3255,0.2225,0.3718,0.2392,0.3548,0.2165,0.3674,0.2734,0.3366,0.2613,0.4071,0.2357,0.3548,0.2474,0.3981,0.2628,0.3625,0.2497,0.3737,0.2476,0.3081,0.2474,0.4121,0.2357,0.4034,0.2474,0.4043,0.2357
0.343,0.2365,0.3796,0.2535,0.3798,0.2264,0.4071,0.2357,0.3324,0.2365,0.3967,0.2334,0.3548,0.2474,0.4199,0.2451,0.3242,0.223,0.3915,0.245,0.3548,0.2434,0.3618,0.2392,0.3719,0.2363,0.3576,0.231,0.385,0.2202,0.3924,0.2557,0.3377,0.2385,0.3863,0.2557,0.3642,0.2185,0.409,0.4071,0.2604,0.3734,0.2474,0.3825,0.2322,0.3264,0.2605,0.3735,0.2628,0.3912,0.2495,0.2446,0.3822,0.2417,0.3264,0.2662,0.4141,0.271,0.3876,0.2486,0.3541,0.2322,0.3642,0.2282,0.3967,0.2416,0.3548,0.2516,0.4238,0.2357,0.3806,0.225,0.3521,0.2298,0.3548,0.2438,0.4148,0.3695,0.2429,0.3787,0.2257,0.3908,0.2557,0.4076,0.2344,0.3531,0.2569,0.3548,0.2717,0.4338,0.2557,0.3344,0.2376,0.4199,0.2415,0.3255,0.2225,0.3877,0.2392,0.3548,0.2165,0.3881,0.2734,0.3366,0.2613,0.4071,0.2357,0.3548,0.2474,0.3981,0.2757,0.3625,0.2497,0.401,0.2476,0.3081,0.2474,0.4121,0.2357,0.4034,0.2474,0.4043,0.2357
0.343,0.2365,0.4071,0.2535,0.3798,0.2264,0.4071,0.2357,0.3324,0.2365,0.3967,0.2334,0.3644,0.2474,0.4199,0.2451,0.3242,0.2373,0.3915,0.245,0.3548,0.2434,0.3618,0.2392,0.3719,0.2363,0.3729,0.2346,0.385,0.2202,0.3931,0.2557,0.3377,0.2385,0.3863,0.2709,0.3642,0.2185,0.4229,0.4095,0.2604,0.3734,0.2486,0.3825,0.2322,0.3264,0.2605,0.3735,0.2628,0.3912,0.2495,0.2446,0.3883,0.2417,0.3264,0.2662,0.4141,0.271,0.3876,0.2486,0.3625,0.2322,0.3642,0.2282,0.3967,0.2416,0.3548,0.2516,0.4238,0.2357,0.3806,0.225,0.3521,0.2298,0.3548,0.2474,0.4338,0.3695,0.2569,0.3787,0.2365,0.3997,0.2557,0.4076,0.2344,0.3813,0.2722,0.3548,0.2717,0.4338,0.2557,0.3344,0.2376,0.4199,0.2415,0.347,0.2284,0.3877,0.2392,0.3548,0.2185,0.3881,0.2734,0.3366,0.2613,0.4071,0.2357,0.3548,0.2474,0.3981,0.2757,0.3625,0.2497,0.401,0.2476,0.3095,0.2474,0.4121,0.2357,0.4067,0.2474,0.4043,0.2357
0.343,0.2365,0.4071,0.2535,0.3798,0.2266,0.4071,0.2357,0.3548,0.2365,0.3967,0.2569,0.3644,0.2474,0.4199,0.2451,0.3242,0.2395,0.3915,0.245,0.3548,0.2434,0.3618,0.2392,0.3719,0.2363,0.3755,0.2346,0.4128,0.2474,0.401,0.2557,0.3776,0.2385,0.3863,0.2709,0.3642,0.2214,0.4229,0.4095,0.2604,0.3734,0.2486,0.3825,0.2334,0.3264,0.2605,0.3927,0.2628,0.3912,0.2495,0.2446,0.4194,0.2417,0.3264,0.2662,0.4141,0.271,0.3876,0.2486,0.3625,0.2322,0.3642,0.2282,0.3967,0.2416,0.3548,0.2516,0.4238,0.2357,0.3806,0.225,0.3521,0.2298,0.3548,0.2474,0.4338,0.3695,0.2569,0.3787,0.2365,0.3997,0.2557,0.4076,0.2344,0.3813,0.2722,0.3548,0.2717,0.4338,0.2557,0.3344,0.2376,0.4199,0.2415,0.3548,0.2284,0.3877,0.2392,0.3548,0.2185,0.3918,0.2734,0.3366,0.2613,0.4071,0.2357,0.3548,0.2474,0.3981,0.2757,0.3625,0.2497,0.401,0.2476,0.3095,0.2474,0.4121,0.2392,0.4093,0.2474,0.4043,0.2357
0.3548,0.2365,0.409,0.2535,0.3798,0.2266,0.4071,0.2357,0.3644,0.2365,0.3967,0.2569,0.3648,0.2474,0.4199,0.2451,0.3242,0.245,0.4032,0.2711,0.3548,0.2434,0.3737,0.2392,0.3719,0.2363,0.3755,0.2346,0.4128,0.2474,0.4071,0.2557,0.3776,0.2385,0.3863,0.2709,0.3642,0.2214,0.4229,0.4151,0.2746,0.3734,0.2486,0.3895,0.2334,0.3303,0.2712,0.3927,0.2628,0.3912,0.2495,0.2446,0.4194,0.2417,0.3264,0.2662,0.4141,0.271,0.3876,0.2486,0.3625,0.2392,0.3642,0.2282,0.4042,0.2557,0.3548,0.2582,0.4238,0.2453,0.3806,0.225,0.3576,0.2298,0.3548,0.2474,0.4338,0.4008,0.2569,0.3787,0.2365,0.4105,0.2557,0.4076,0.2344,0.3813,0.2722,0.3548,0.2717,0.4338,0.2557,0.3344,0.2376,0.4199,0.2415,0.355,0.2284,0.3881,0.2392,0.3548,0.2185,0.3918,0.2734,0.3366,0.2613,0.4155,0.2357,0.3548,0.2474,0.3981,0.2757,0.3625,0.2497,0.401,0.2476,0.315,0.2474,0.4121,0.2475,0.4093,0.2474,0.4043,0.2357
0.358,0.2454,0.409,0.2535,0.3798,0.2343,0.4071,0.2418,0.3644,0.2474,0.4166,0.2569,0.3648,0.2474,0.4199,0.2451,0.3247,0.2454,0.4032,0.2711,0.3548,0.2434,0.3737,0.2392,0.3719,0.2363,0.4217,0.2463,0.4128,0.2605,0.4126,0.2557,0.3776,0.2397,0.3863,0.2709,0.3642,0.2214,0.4229,0.4151,0.2746,0.3734,0.2486,0.3895,0.2334,0.419,0.2712,0.424,0.2628,0.3912,0.2495,0.2474,0.4194,0.2569,0.3264,0.2662,0.415,0.271,0.3876,0.2486,0.3625,0.2392,0.3642,0.2282,0.4112,0.2557,0.3548,0.2582,0.4238,0.2453,0.3806,0.225,0.3576,0.2298,0.3548,0.2474,0.4338,0.4008,0.2569,0.3787,0.2365,0.4105,0.2557,0.4076,0.2344,0.3813,0.2722,0.3548,0.2717,0.4338,0.2557,0.3344,0.2376,0.4199,0.2415,0.3667,0.2284,0.3881,0.2392,0.3548,0.2196,0.3927,0.2734,0.3366,0.2613,0.4155,0.2357,0.3806,0.2474,0.3981,0.2757,0.3625,0.2497,0.401,0.2476,0.3242,0.2474,0.4121,0.2475,0.4093,0.2474,0.4043,0.2357
0.358,0.2454,0.409,0.2535,0.3798,0.2343,0.4071,0.2418,0.3644,0.2474,0.4166,0.2569,0.3648,0.2474,0.4249,0.2451,0.3247,0.2454,0.406,0.2711,0.3548,0.2434,0.3737,0.2392,0.3769,0.2363,0.4217,0.2463,0.4128,0.2605,0.4193,0.2557,0.3776,0.2397,0.3863,0.2709,0.3642,0.2214,0.4229,0.4225,0.2746,0.3734,0.2486,0.4005,0.251,0.419,0.2712,0.424,0.2628,0.3912,0.2495,0.2474,0.4194,0.2569,0.3333,0.2662,0.415,0.271,0.3876,0.2486,0.3625,0.2392,0.3642,0.2282,0.4112,0.2557,0.3548,0.2582,0.4238,0.2453,0.3806,0.225,0.3735,0.2298,0.3548,0.2474,0.4338,0.4008,0.2569,0.3787,0.2474,0.4105,0.2557,0.4076,0.2344,0.3813,0.2722,0.3552,0.2717,0.4338,0.2557,0.3344,0.2376,0.4199,0.2415,0.3667,0.2535,0.3944,0.2392,0.3548,0.2196,0.3988,0.2734,0.3366,0.2613,0.4155,0.2357,0.3806,0.2543,0.4103,0.2757,0.3625,0.2497,0.401,0.2476,0.3242,0.2474,0.4121,0.2475,0.4093,0.2495,0.4043,0.2392
0.358,0.2454,0.409,0.2698,0.3798,0.2343,0.4071,0.2418,0.3644,0.2474,0.4166,0.2604,0.3648,0.2474,0.428,0.252,0.3247,0.2454,0.4103,0.2711,0.3548,0.2434,0.3737,0.2392,0.3769,0.2363,0.4217,0.2463,0.4128,0.2605,0.4193,0.2557,0.3836,0.2397,0.3863,0.2709,0.3642,0.2261,0.4229,0.4225,0.2746,0.3734,0.2486,0.4005,0.251,0.419,0.2712,0.4303,0.2628,0.3912,0.2495,0.2474,0.4194,0.2569,0.3333,0.2662,0.415,0.271,0.3876,0.2675,0.3638,0.2415,0.3642,0.2282,0.4112,0.2557,0.3548,0.2582,0.4238,0.2453,0.3806,0.225,0.3765,0.2298,0.3548,0.2474,0.4338,0.409,0.2569,0.3787,0.2474,0.4105,0.2557,0.4076,0.2345,0.3813,0.2722,0.3552,0.2717,0.4338,0.2829,0.3344,0.2376,0.4199,0.2415,0.3667,0.2628,0.4151,0.2392,0.3548,0.2633,0.3988,0.2734,0.3369,0.2613,0.4155,0.2357,0.3806,0.2543,0.4103,0.2757,0.3625,0.2497,0.401,0.2476,0.3548,0.2474,0.4121,0.2475,0.4093,0.2495,0.4043,0.2392
0.358,0.2454,0.409,0.2748,0.3798,0.2343,0.4199,0.2418,0.3644,0.2474,0.4166,0.2604,0.3648,0.2474,0.4303,0.252,0.3247,0.2454,0.4103,0.2711,0.3929,0.2434,0.3881,0.2392,0.3769,0.2363,0.4217,0.2463,0.4128,0.2725,0.4338,0.2557,0.3987,0.2397,0.3998,0.2709,0.3642,0.2261,0.4229,0.4225,0.2746,0.3734,0.2486,0.4005,0.251,0.419,0.2712,0.4303,0.2628,0.3912,0.2495,0.2633,0.4194,0.2569,0.3333,0.2667,0.415,0.271,0.3876,0.2675,0.3638,0.2415,0.3642,0.2282,0.4112,0.2557,0.3787,0.2582,0.4275,0.2734,0.3806,0.225,0.3765,0.2346,0.3548,0.2607,0.4338,0.409,0.2569,0.3787,0.2474,0.4227,0.2557,0.4076,0.2525,0.4098,0.2722,0.3552,0.2717,0.4338,0.2829,0.3945,0.2376,0.4199,0.2415,0.3798,0.2628,0.4151,0.2392,0.3548,0.2633,0.3988,0.2734,0.3405,0.2656,0.4155,0.2357,0.3806,0.2543,0.4103,0.2757,0.3786,0.2497,0.401,0.2476,0.3548,0.2474,0.4121,0.2475,0.4093,0.2495,0.4043,0.2392
