experiment,response,config,dataset_name,dataset_path,time_col,event_col,execution,response_file,y_raw,population,generations,rate_policy,alpha,y,response_transform,transform_epsilon
topk_quality,mean_rule_score,-1_+1,cancer,datasets\files\cancer.parquet,time,status,0,C:\GitHub\easd_refatorado\experiments\factorial_design\factorial_2k\mean_rule_score\-1_+1\cancer\complement\cancer_0_complement_DetailedRules.csv,0.9111649030739575,500,500,adaptive,0.1,2.3279420865658373,logit,1e-06
topk_quality,mean_rule_score,-1_+1,cancer,datasets\files\cancer.parquet,time,status,10,C:\GitHub\easd_refatorado\experiments\factorial_design\factorial_2k\mean_rule_score\-1_+1\cancer\complement\cancer_10_complement_DetailedRules.csv,0.9145267215578347,500,500,adaptive,0.1,2.37020289300553,logit,1e-06
topk_quality,mean_rule_score,-1_+1,cancer,datasets\files\cancer.parquet,time,status,11,C:\GitHub\easd_refatorado\experiments\factorial_design\factorial_2k\mean_rule_score\-1_+1\cancer\complement\cancer_11_complement_DetailedRules.csv,0.911135996372268,500,500,adaptive,0.1,2.32758501668684,logit,1e-06
topk_quality,mean_rule_score,-1_+1,cancer,datasets\files\cancer.parquet,time,status,12,C:\GitHub\easd_refatorado\experiments\factorial_design\factorial_2k\mean_rule_score\-1_+1\cancer\complement\cancer_12_complement_DetailedRules.csv,0.9066925187780512,500,500,adaptive,0.1,2.2739030943480905,logit,1e-06
topk_quality,mean_rule_score,-1_+1,cancer,datasets\files\cancer.parquet,time,status,13,C:\GitHub\easd_refatorado\experiments\factorial_design\factorial_2k\mean_rule_score\-1_+1\cancer\complement\cancer_13_complement_DetailedRules.csv,0.91536755159907,500,500,adaptive,0.1,2.3810079364403034,logit,1e-06
topk_quality,mean_rule_score,-1_+1,cancer,datasets\files\cancer.parquet,time,status,14,C:\GitHub\easd_refatorado\experiments\factorial_design\factorial_2k\mean_rule_score\-1_+1\cancer\complement\cancer_14_complement_DetailedRules.csv,0.9089798011578747,500,500,adaptive,0.1,2.301241425797879,logit,1e-06
topk_quality,mean_rule_score,-1_+1,cancer,datasets\files\cancer.parquet,time,status,1,C:\GitHub\easd_refatorado\experiments\factorial_design\factorial_2k\mean_rule_score\-1_+1\cancer\complement\cancer_1_complement_DetailedRules.csv,0.9128127011625612,500,500,adaptive,0.1,2.3484720481865082,logit,1e-06
topk_quality,mean_rule_score,-1_+1,cancer,datasets\files\cancer.parquet,time,status,2,C:\GitHub\easd_refatorado\experiments\factorial_design\factorial_2k\mean_rule_score\-1_+1\cancer\complement\cancer_2_complement_DetailedRules.csv,0.9068085983915125,500,500,adaptive,0.1,2.2752759406981333,logit,1e-06
topk_quality,mean_rule_score,-1_+1,cancer,datasets\files\cancer.parquet,time,status,3,C:\GitHub\easd_refatorado\experiments\factorial_design\factorial_2k\mean_rule_score\-1_+1\cancer\complement\cancer_3_complement_DetailedRules.csv,0.9053418002001548,500,500,adaptive,0.1,2.2580400454168625,logit,1e-06
topk_quality,mean_rule_score,-1_+1,cancer,datasets\files\cancer.parquet,time,status,4,C:\GitHub\easd_refatorado\experiments\factorial_design\factorial_2k\mean_rule_score\-1_+1\cancer\complement\cancer_4_complement_DetailedRules.csv,0.912249650518364,500,500,adaptive,0.1,2.3414178471832012,logit,1e-06
topk_quality,mean_rule_score,-1_+1,cancer,datasets\files\cancer.parquet,time,status,5,C:\GitHub\easd_refatorado\experiments\factorial_design\factorial_2k\mean_rule_score\-1_+1\cancer\complement\cancer_5_complement_DetailedRules.csv,0.905239238888891,500,500,adaptive,0.1,2.2568438498828636,logit,1e-06
topk_quality,mean_rule_score,-1_+1,cancer,datasets\files\cancer.parquet,time,status,6,C:\GitHub\easd_refatorado\experiments\factorial_design\factorial_2k\mean_rule_score\-1_+1\cancer\complement\cancer_6_complement_DetailedRules.csv,0.8998442084646973,500,500,adaptive,0.1,2.1954947575846595,logit,1e-06
