experiment,response,config,dataset_name,dataset_path,time_col,event_col,execution,response_file,y_raw,population,dataset_level,generations,rate_policy,y,response_transform,I,q0,y_hat_main_effects,y_hat_full_factorial,A,B,AB,residual_main_effects,treatment_mean,full_factorial_minus_treatment_mean,residual_full_factorial,experiment_order,abs_residual_full_factorial,squared_residual_full_factorial
runtime,total_time,+1_-1,veteran,datasets\files\veteran.parquet,survival,status,8,C:\GitHub\easd_refatorado\experiments\factorial_design\factorial_2k\total_time\+1_-1\veteran\complement\veteran_8_complement_Info.csv,483.9253165721893,1000,low,500,adaptive,6.1819305902075365,log,1,4.904838057424828,5.972741376283251,5.988235524749478,1,-1,-1,0.2091892139242857,5.988235524749478,0.0,0.19369506545805848,24,0.19369506545805848,0.037517778382801556
runtime,total_time,+1_-1,veteran,datasets\files\veteran.parquet,survival,status,9,C:\GitHub\easd_refatorado\experiments\factorial_design\factorial_2k\total_time\+1_-1\veteran\complement\veteran_9_complement_Info.csv,250.95361304283145,1000,low,500,adaptive,5.525268113458274,log,1,4.904838057424828,5.972741376283251,5.988235524749478,1,-1,-1,-0.44747326282497646,5.988235524749478,0.0,-0.46296741129120367,25,0.46296741129120367,0.21433882391767853
runtime,total_time,+1_-1,veteran,datasets\files\veteran.parquet,survival,status,10,C:\GitHub\easd_refatorado\experiments\factorial_design\factorial_2k\total_time\+1_-1\veteran\complement\veteran_10_complement_Info.csv,471.6670341491699,1000,low,500,adaptive,6.156273300523773,log,1,4.904838057424828,5.972741376283251,5.988235524749478,1,-1,-1,0.18353192424052178,5.988235524749478,0.0,0.16803777577429457,26,0.16803777577429457,0.0282366940871721
runtime,total_time,+1_-1,veteran,datasets\files\veteran.parquet,survival,status,11,C:\GitHub\easd_refatorado\experiments\factorial_design\factorial_2k\total_time\+1_-1\veteran\complement\veteran_11_complement_Info.csv,447.7629585266113,1000,low,500,adaptive,6.104263981954994,log,1,4.904838057424828,5.972741376283251,5.988235524749478,1,-1,-1,0.13152260567174334,5.988235524749478,0.0,0.11602845720551613,27,0.11602845720551613,0.01346260288149229
runtime,total_time,+1_-1,veteran,datasets\files\veteran.parquet,survival,status,12,C:\GitHub\easd_refatorado\experiments\factorial_design\factorial_2k\total_time\+1_-1\veteran\complement\veteran_12_complement_Info.csv,430.2167773246765,1000,low,500,adaptive,6.064289214968303,log,1,4.904838057424828,5.972741376283251,5.988235524749478,1,-1,-1,0.09154783868505234,5.988235524749478,0.0,0.07605369021882513,28,0.07605369021882513,0.005784163795901017
runtime,total_time,+1_-1,veteran,datasets\files\veteran.parquet,survival,status,13,C:\GitHub\easd_refatorado\experiments\factorial_design\factorial_2k\total_time\+1_-1\veteran\complement\veteran_13_complement_Info.csv,372.7814593315125,1000,low,500,adaptive,5.920992348021872,log,1,4.904838057424828,5.972741376283251,5.988235524749478,1,-1,-1,-0.05174902826137906,5.988235524749478,0.0,-0.06724317672760627,29,0.06724317672760627,0.0045216448164200895
runtime,total_time,+1_-1,veteran,datasets\files\veteran.parquet,survival,status,14,C:\GitHub\easd_refatorado\experiments\factorial_design\factorial_2k\total_time\+1_-1\veteran\complement\veteran_14_complement_Info.csv,487.1592602729797,1000,low,500,adaptive,6.188591092769977,log,1,4.904838057424828,5.972741376283251,5.988235524749478,1,-1,-1,0.21584971648672635,5.988235524749478,0.0,0.20035556802049914,30,0.20035556802049914,0.04014235363681686
runtime,total_time,-1_+1,mgus2,datasets\files\mgus2.parquet,futime,status,0,C:\GitHub\easd_refatorado\experiments\factorial_design\factorial_2k\total_time\-1_+1\mgus2\complement\mgus2_0_complement_Info.csv,73.79553127288818,50,high,500,adaptive,4.301298177915205,log,1,4.904838057424828,3.8369347385664057,3.852428887032633,-1,1,-1,0.46436343934879964,3.852428887032633,0.0,0.44886929088257244,31,0.44886929088257244,0.20148364029742344
runtime,total_time,-1_+1,mgus2,datasets\files\mgus2.parquet,futime,status,1,C:\GitHub\easd_refatorado\experiments\factorial_design\factorial_2k\total_time\-1_+1\mgus2\complement\mgus2_1_complement_Info.csv,39.00809001922608,50,high,500,adaptive,3.6637690610081055,log,1,4.904838057424828,3.8369347385664057,3.852428887032633,-1,1,-1,-0.17316567755830015,3.852428887032633,0.0,-0.18865982602452736,32,0.18865982602452736,0.035592529955604926
runtime,total_time,-1_+1,mgus2,datasets\files\mgus2.parquet,futime,status,2,C:\GitHub\easd_refatorado\experiments\factorial_design\factorial_2k\total_time\-1_+1\mgus2\complement\mgus2_2_complement_Info.csv,55.35476422309876,50,high,500,adaptive,4.0137627299418455,log,1,4.904838057424828,3.8369347385664057,3.852428887032633,-1,1,-1,0.1768279913754398,3.852428887032633,0.0,0.1613338429092126,33,0.1613338429092126,0.026028608867854488
runtime,total_time,-1_+1,mgus2,datasets\files\mgus2.parquet,futime,status,3,C:\GitHub\easd_refatorado\experiments\factorial_design\factorial_2k\total_time\-1_+1\mgus2\complement\mgus2_3_complement_Info.csv,52.78803706169128,50,high,500,adaptive,3.966284594239873,log,1,4.904838057424828,3.8369347385664057,3.852428887032633,-1,1,-1,0.12934985567346713,3.852428887032633,0.0,0.11385570720723992,34,0.11385570720723992,0.012963122063660744
runtime,total_time,-1_+1,mgus2,datasets\files\mgus2.parquet,futime,status,4,C:\GitHub\easd_refatorado\experiments\factorial_design\factorial_2k\total_time\-1_+1\mgus2\complement\mgus2_4_complement_Info.csv,28.14519238471985,50,high,500,adaptive,3.3373765543774336,log,1,4.904838057424828,3.8369347385664057,3.852428887032633,-1,1,-1,-0.499558184188972,3.852428887032633,0.0,-0.5150523326551992,35,0.5150523326551992,0.265278905373562
runtime,total_time,-1_+1,mgus2,datasets\files\mgus2.parquet,futime,status,5,C:\GitHub\easd_refatorado\experiments\factorial_design\factorial_2k\total_time\-1_+1\mgus2\complement\mgus2_5_complement_Info.csv,33.88789772987366,50,high,500,adaptive,3.5230579515282776,log,1,4.904838057424828,3.8369347385664057,3.852428887032633,-1,1,-1,-0.31387678703812805,3.852428887032633,0.0,-0.32937093550435526,36,0.32937093550435526,0.10848521315501415
runtime,total_time,-1_+1,mgus2,datasets\files\mgus2.parquet,futime,status,6,C:\GitHub\easd_refatorado\experiments\factorial_design\factorial_2k\total_time\-1_+1\mgus2\complement\mgus2_6_complement_Info.csv,70.72085237503052,50,high,500,adaptive,4.258740471071099,log,1,4.904838057424828,3.8369347385664057,3.852428887032633,-1,1,-1,0.42180573250469333,3.852428887032633,0.0,0.4063115840384661,37,0.4063115840384661,0.16508910332384752
runtime,total_time,-1_+1,mgus2,datasets\files\mgus2.parquet,futime,status,7,C:\GitHub\easd_refatorado\experiments\factorial_design\factorial_2k\total_time\-1_+1\mgus2\complement\mgus2_7_complement_Info.csv,71.55151510238647,50,high,500,adaptive,4.270417681213434,log,1,4.904838057424828,3.8369347385664057,3.852428887032633,-1,1,-1,0.4334829426470286,3.852428887032633,0.0,0.41798879418080137,38,0.41798879418080137,0.17471463206072033
runtime,total_time,-1_+1,mgus2,datasets\files\mgus2.parquet,futime,status,8,C:\GitHub\easd_refatorado\experiments\factorial_design\factorial_2k\total_time\-1_+1\mgus2\complement\mgus2_8_complement_Info.csv,85.11077404022217,50,high,500,adaptive,4.443953632033605,log,1,4.904838057424828,3.8369347385664057,3.852428887032633,-1,1,-1,0.607018893467199,3.852428887032633,0.0,0.5915247450009717,39,0.5915247450009717,0.34990152394846463
runtime,total_time,-1_+1,mgus2,datasets\files\mgus2.parquet,futime,status,9,C:\GitHub\easd_refatorado\experiments\factorial_design\factorial_2k\total_time\-1_+1\mgus2\complement\mgus2_9_complement_Info.csv,29.55330371856689,50,high,500,adaptive,3.3861955385695754,log,1,4.904838057424828,3.8369347385664057,3.852428887032633,-1,1,-1,-0.4507391999968302,3.852428887032633,0.0,-0.4662333484630574,40,0.4662333484630574,0.21737353521907474
runtime,total_time,-1_+1,mgus2,datasets\files\mgus2.parquet,futime,status,10,C:\GitHub\easd_refatorado\experiments\factorial_design\factorial_2k\total_time\-1_+1\mgus2\complement\mgus2_10_complement_Info.csv,37.0089213848114,50,high,500,adaptive,3.611159002088245,log,1,4.904838057424828,3.8369347385664057,3.852428887032633,-1,1,-1,-0.22577573647816074,3.852428887032633,0.0,-0.24126988494438795,41,0.24126988494438795,0.058211157381078196
runtime,total_time,-1_+1,mgus2,datasets\files\mgus2.parquet,futime,status,11,C:\GitHub\easd_refatorado\experiments\factorial_design\factorial_2k\total_time\-1_+1\mgus2\complement\mgus2_11_complement_Info.csv,41.697285175323486,50,high,500,adaptive,3.730436022976148,log,1,4.904838057424828,3.8369347385664057,3.852428887032633,-1,1,-1,-0.10649871559025748,3.852428887032633,0.0,-0.12199286405648468,42,0.12199286405648468,0.014882258880703953
runtime,total_time,-1_+1,mgus2,datasets\files\mgus2.parquet,futime,status,12,C:\GitHub\easd_refatorado\experiments\factorial_design\factorial_2k\total_time\-1_+1\mgus2\complement\mgus2_12_complement_Info.csv,44.18951940536499,50,high,500,adaptive,3.7884876434411683,log,1,4.904838057424828,3.8369347385664057,3.852428887032633,-1,1,-1,-0.04844709512523737,3.852428887032633,0.0,-0.06394124359146458,43,0.06394124359146458,0.00408848263202301
runtime,total_time,-1_+1,mgus2,datasets\files\mgus2.parquet,futime,status,13,C:\GitHub\easd_refatorado\experiments\factorial_design\factorial_2k\total_time\-1_+1\mgus2\complement\mgus2_13_complement_Info.csv,40.946125984191895,50,high,500,adaptive,3.712257202263242,log,1,4.904838057424828,3.8369347385664057,3.852428887032633,-1,1,-1,-0.1246775363031638,3.852428887032633,0.0,-0.14017168476939101,44,0.14017168476939101,0.019648101211089525
runtime,total_time,-1_+1,mgus2,datasets\files\mgus2.parquet,futime,status,14,C:\GitHub\easd_refatorado\experiments\factorial_design\factorial_2k\total_time\-1_+1\mgus2\complement\mgus2_14_complement_Info.csv,43.7826247215271,50,high,500,adaptive,3.779237042822239,log,1,4.904838057424828,3.8369347385664057,3.852428887032633,-1,1,-1,-0.05769769574416683,3.852428887032633,0.0,-0.07319184421039404,45,0.07319184421039404,0.005357046058918592
runtime,total_time,-1_-1,veteran,datasets\files\veteran.parquet,survival,status,0,C:\GitHub\easd_refatorado\experiments\factorial_design\factorial_2k\total_time\-1_-1\veteran\complement\veteran_0_complement_Info.csv,25.721758127212524,50,low,500,adaptive,3.247337253456729,log,1,4.904838057424828,3.1722344818115022,3.156740333345275,-1,-1,1,0.07510277164522661,3.1567403333452746,4.440892098500626e-16,0.09059692011145382,46,0.09059692011145382,0.008207801933681145
