experiment,response,config,dataset_name,dataset_path,time_col,event_col,execution,response_file,y_raw,population,dataset_level,generations,rate_policy,y,response_transform
runtime,total_time,-1_+1,mgus2,datasets\files\mgus2.parquet,futime,status,1,C:\GitHub\easd_refatorado\experiments\factorial_design\factorial_2k\total_time\-1_+1\mgus2\complement\mgus2_1_complement_Info.csv,39.00809001922608,50,high,500,adaptive,3.6637690610081055,log
runtime,total_time,-1_+1,mgus2,datasets\files\mgus2.parquet,futime,status,2,C:\GitHub\easd_refatorado\experiments\factorial_design\factorial_2k\total_time\-1_+1\mgus2\complement\mgus2_2_complement_Info.csv,55.35476422309876,50,high,500,adaptive,4.0137627299418455,log
runtime,total_time,-1_+1,mgus2,datasets\files\mgus2.parquet,futime,status,3,C:\GitHub\easd_refatorado\experiments\factorial_design\factorial_2k\total_time\-1_+1\mgus2\complement\mgus2_3_complement_Info.csv,52.78803706169128,50,high,500,adaptive,3.966284594239873,log
runtime,total_time,-1_+1,mgus2,datasets\files\mgus2.parquet,futime,status,4,C:\GitHub\easd_refatorado\experiments\factorial_design\factorial_2k\total_time\-1_+1\mgus2\complement\mgus2_4_complement_Info.csv,28.14519238471985,50,high,500,adaptive,3.3373765543774336,log
runtime,total_time,-1_+1,mgus2,datasets\files\mgus2.parquet,futime,status,5,C:\GitHub\easd_refatorado\experiments\factorial_design\factorial_2k\total_time\-1_+1\mgus2\complement\mgus2_5_complement_Info.csv,33.88789772987366,50,high,500,adaptive,3.5230579515282776,log
runtime,total_time,-1_+1,mgus2,datasets\files\mgus2.parquet,futime,status,6,C:\GitHub\easd_refatorado\experiments\factorial_design\factorial_2k\total_time\-1_+1\mgus2\complement\mgus2_6_complement_Info.csv,70.72085237503052,50,high,500,adaptive,4.258740471071099,log
runtime,total_time,-1_+1,mgus2,datasets\files\mgus2.parquet,futime,status,7,C:\GitHub\easd_refatorado\experiments\factorial_design\factorial_2k\total_time\-1_+1\mgus2\complement\mgus2_7_complement_Info.csv,71.55151510238647,50,high,500,adaptive,4.270417681213434,log
runtime,total_time,-1_+1,mgus2,datasets\files\mgus2.parquet,futime,status,8,C:\GitHub\easd_refatorado\experiments\factorial_design\factorial_2k\total_time\-1_+1\mgus2\complement\mgus2_8_complement_Info.csv,85.11077404022217,50,high,500,adaptive,4.443953632033605,log
runtime,total_time,-1_+1,mgus2,datasets\files\mgus2.parquet,futime,status,9,C:\GitHub\easd_refatorado\experiments\factorial_design\factorial_2k\total_time\-1_+1\mgus2\complement\mgus2_9_complement_Info.csv,29.55330371856689,50,high,500,adaptive,3.3861955385695754,log
runtime,total_time,+1_+1,mgus2,datasets\files\mgus2.parquet,futime,status,0,C:\GitHub\easd_refatorado\experiments\factorial_design\factorial_2k\total_time\+1_+1\mgus2\complement\mgus2_0_complement_Info.csv,798.4024765491486,1000,high,500,adaptive,6.68261282688266,log
runtime,total_time,+1_+1,mgus2,datasets\files\mgus2.parquet,futime,status,10,C:\GitHub\easd_refatorado\experiments\factorial_design\factorial_2k\total_time\+1_+1\mgus2\complement\mgus2_10_complement_Info.csv,779.0015211105347,1000,high,500,adaptive,6.658012998513944,log
runtime,total_time,+1_+1,mgus2,datasets\files\mgus2.parquet,futime,status,11,C:\GitHub\easd_refatorado\experiments\factorial_design\factorial_2k\total_time\+1_+1\mgus2\complement\mgus2_11_complement_Info.csv,662.3847768306732,1000,high,500,adaptive,6.495846620969211,log
