0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79
0.0165564,0.0505986,0.014195,0.021199,0.0279732,0.0231324,0.0059038,0.023392,0.0083988,0.0235536,0.0049424,0.0339028,0.0135492,0.023504,0.0061066,0.0073218,0.00936,0.032172,-6.46e-05,0.0170992,0.0051624,0.0310836,0.0266214,0.0093854,0.022026,0.035299,0.0382198,0.024689,0.0125606,0.0253206,0.0089238,0.0223632,0.0071778,0.0315408,0.0168738,0.004042,0.006406,0.0168784,0.0038118,0.013753,0.0222438,0.0146708,0.0114556,0.0223996,0.0308052,0.0103512,0.0145504,0.016571,0.019509,0.0261566,0.0222378,0.0127622,0.0209922,0.0062066,0.0333448,-0.0070208,0.0274008,-5.62e-05,0.016818,0.0148392,0.030473,0.0039412,0.0160682,0.0137442,0.0274824,0.0245374,0.0356636,0.0037588,0.0254668,0.0295514,0.0092632,0.0237448,0.014856,0.0018766,0.0174666,0.0365886,0.0003706,0.0255986,0.0337092,0.0180014
0.0197888,0.0582876,0.0155774,0.0228612,0.0291254,0.0234042,0.0046186,0.027373,0.00884,0.0203682,0.006234,0.0386648,0.019394,0.0280444,0.00589,0.009038,0.015349,0.0376732,0.003006,0.025412,0.0109228,0.0310456,0.0232664,0.0136748,0.0231914,0.0350814,0.0401246,0.0260534,0.016954,0.0296786,0.013711,0.0244918,0.0090102,0.0350194,0.0159674,0.0072,0.0075878,0.021829,0.007801,0.0167178,0.0257436,0.0105206,0.0196878,0.0331978,0.0415856,0.0133114,0.014967,0.0189414,0.0212062,0.03162,0.0281628,0.0154124,0.0297262,0.0085476,0.0426202,-0.0038978,0.0371636,0.0080812,0.0207182,0.012511,0.0295268,0.0115478,0.0249232,0.0155928,0.0291254,0.0285062,0.0328264,-0.0024214,0.0380834,0.0357016,0.0124948,0.0326908,0.022127,0.0050934,0.0274104,0.0382766,0.0081642,0.0326234,0.0318666,0.02094
0.0137562,0.0590386,0.0133632,0.0347364,0.0351302,0.0237156,0.014917,0.027109,0.0166344,0.0290176,0.018761,0.0446586,0.0202976,0.030061,0.009427,0.0167258,0.018116,0.0251144,0.002476,0.0349606,0.0075948,0.0384278,0.0287396,0.0111744,0.0234104,0.0469796,0.0510812,0.0306312,0.0200098,0.0346828,0.0150194,0.0361588,0.0062402,0.0315352,0.0131782,0.024019,0.0108678,0.0220128,0.0117956,0.021492,0.0288744,0.016251,0.015399,0.0362314,0.0506558,0.00958,0.0299008,0.0240704,0.0190914,0.0423504,0.0286288,0.0143816,0.0360306,0.0143724,0.0514016,0.0034214,0.042555,0.0015384,0.0242634,0.0145884,0.0348232,0.0136226,0.0301054,0.0126938,0.0328496,0.0390254,0.0351584,0.0043588,0.0408842,0.033642,0.011067,0.0410682,0.0327854,0.0076012,0.0325082,0.0401302,0.0059442,0.0394148,0.0269408,0.0268166
0.0139104,0.0555642,0.0164046,0.0445252,0.0355744,0.0295352,0.0149754,0.035485,0.0168426,0.0281426,0.0178124,0.0503626,0.0142304,0.0382644,0.0115946,0.0170582,0.0205102,0.0315548,0.0138958,0.0384632,0.0136522,0.0391826,0.0394122,0.0142672,0.0203238,0.0548292,0.0559832,0.0350896,0.0171944,0.0389256,0.0162096,0.0395452,0.0092858,0.04164,0.0171504,0.027893,0.0131222,0.0263092,0.0104622,0.0299556,0.0372628,0.018626,0.0158312,0.0417964,0.055937,0.0137374,0.0369704,0.0306532,0.0270714,0.0496126,0.0354084,0.0131458,0.0423132,0.0165078,0.0533476,0.0028764,0.0513748,0.0072116,0.0240346,0.0176602,0.0361526,0.0154666,0.0321908,0.0085966,0.0388518,0.0464816,0.0423034,0.0029958,0.0399824,0.0431036,0.010445,0.0414344,0.0430766,0.0114416,0.0339166,0.0375366,0.0106822,0.043391,0.031614,0.0291
0.0132942,0.0620286,0.0151146,0.0405132,0.0407678,0.0340048,0.0099542,0.0395204,0.015274,0.0325124,0.0190568,0.0570518,0.0142648,0.0347392,0.0154716,0.0226022,0.0197988,0.0409852,0.0107554,0.0497858,0.0110602,0.044573,0.0498132,0.013559,0.0329218,0.0608614,0.059717,0.0418888,0.0175148,0.041036,0.0162426,0.049631,0.0112286,0.0443956,0.0145176,0.0264852,0.0129784,0.0310906,0.0152788,0.0376392,0.037153,0.0248246,0.0178048,0.0527102,0.0535022,0.0098656,0.0411194,0.0372842,0.0305828,0.0522462,0.047064,0.0083604,0.0445078,0.021501,0.0570874,0.0107424,0.05975,0.0145944,0.0318766,0.0197416,0.0442814,0.0147434,0.0359044,0.0163224,0.045989,0.0587218,0.0510252,0.0085414,0.0408452,0.0530444,0.0182184,0.0464834,0.047482,0.0141762,0.0456978,0.0434002,0.0167466,0.046632,0.0392412,0.0348748
0.0192442,0.0672382,0.0196084,0.0410236,0.048242,0.0410188,0.0116856,0.0443028,0.0176108,0.0415728,0.0208906,0.0628574,0.0195882,0.0417284,0.0168768,0.0173314,0.022527,0.0523116,0.0080394,0.0466418,0.0171742,0.0485566,0.0546276,0.0101942,0.0443358,0.0704056,0.0561958,0.0461672,0.0162592,0.04257,0.021783,0.055875,0.0107362,0.049636,0.0118948,0.0264176,0.0125462,0.0375672,0.0175446,0.038855,0.0368014,0.0365414,0.0196696,0.06518,0.0593328,0.012159,0.04205,0.042266,0.0377056,0.0548578,0.0518574,0.0080068,0.0537884,0.0206232,0.0625538,0.0046344,0.0623306,0.0169024,0.0324046,0.0225702,0.0513982,0.0182,0.0368166,0.0103688,0.0525486,0.0482694,0.049,0.0074214,0.052421,0.0636766,0.0173916,0.0580168,0.05466,0.0157852,0.0504654,0.0598176,0.0127498,0.056232,0.0452604,0.0406772
0.0197076,0.0702992,0.019382,0.0461988,0.0593402,0.0488772,0.0134514,0.0527866,0.0152984,0.0453732,0.019669,0.0670062,0.019782,0.051623,0.0126922,0.0304526,0.0237596,0.0599568,0.0122142,0.0580442,0.0163662,0.0506478,0.0584736,0.0058622,0.048037,0.0768778,0.0612092,0.0454502,0.018999,0.0510824,0.0212242,0.063864,0.0158242,0.054094,0.0161344,0.034549,0.0161888,0.0425588,0.0158344,0.0352172,0.0456738,0.0339622,0.0158552,0.0662676,0.063175,0.0170808,0.0422216,0.0452894,0.0427806,0.054656,0.0549902,0.0071462,0.058192,0.0232204,0.0624666,0.0094708,0.0640704,0.018065,0.043078,0.023939,0.0537492,0.0159416,0.0444026,0.0048902,0.056624,0.0497464,0.0549092,0.0112364,0.0577194,0.0640528,0.0241756,0.0632904,0.064091,0.015324,0.0588458,0.063905,0.0098694,0.0590404,0.0416532,0.0419594
0.0190754,0.077095,0.0198716,0.0564332,0.0661276,0.0550472,0.015298,0.0489852,0.0161928,0.051105,0.0170654,0.0776342,0.0211662,0.0533886,0.007908,0.033869,0.0255422,0.0698322,0.0211878,0.0623438,0.0193584,0.0561936,0.0606164,0.0116312,0.0517582,0.0772352,0.0598706,0.046314,0.0189226,0.0592368,0.0237632,0.0690914,0.0210396,0.062934,0.0202318,0.0354778,0.0167172,0.0490944,0.0142242,0.0409908,0.0472086,0.037433,0.0162334,0.0682612,0.0598786,0.0196122,0.0486692,0.0484538,0.0487768,0.0624054,0.0580576,0.0071114,0.064232,0.0284764,0.0657306,0.0157374,0.0686284,0.0208242,0.0547644,0.021801,0.0580296,0.022344,0.0481212,0.0166138,0.0656224,0.048482,0.052535,0.0118878,0.0592186,0.0750854,0.0234384,0.0709386,0.0662138,0.0183748,0.0666172,0.0660764,0.011302,0.0589116,0.051617,0.0493522
0.020468,0.0872564,0.0225342,0.0580432,0.0711434,0.0533936,0.018006,0.0524674,0.0142694,0.0516276,0.0194376,0.0862942,0.022136,0.057271,0.0165004,0.0402566,0.028118,0.0702592,0.0257686,0.0672468,0.0195718,0.0530766,0.0613326,0.0160168,0.050077,0.086475,0.0688274,0.0513518,0.0191488,0.0682304,0.0266304,0.0776232,0.0154086,0.0633748,0.028631,0.0373174,0.0196634,0.0593312,0.0191868,0.04008,0.051072,0.0383826,0.019532,0.0698276,0.0680722,0.0236754,0.053344,0.0475412,0.0525068,0.0730244,0.0600776,0.0139398,0.065563,0.0318964,0.0697142,0.0173074,0.0784138,0.0205622,0.0620142,0.0236436,0.066718,0.0241646,0.0554142,0.0166708,0.068784,0.0490138,0.0614242,0.0157668,0.0713376,0.079966,0.0248274,0.0722862,0.0740188,0.0167414,0.0706486,0.0746238,0.0172676,0.0644952,0.0517306,0.0471624
0.02064,0.0858368,0.0251106,0.0664806,0.0723292,0.050425,0.020026,0.0562308,0.015012,0.0545044,0.0257104,0.0876346,0.0242368,0.0681822,0.0157716,0.0421974,0.027451,0.0592426,0.0290904,0.0714546,0.0218434,0.0600184,0.062786,0.016021,0.0576404,0.0911788,0.0734202,0.0539842,0.0193304,0.0753826,0.0242952,0.0799758,0.016511,0.0667592,0.0308996,0.0421008,0.0195462,0.0687692,0.022722,0.0473004,0.0546444,0.0484562,0.0224282,0.0658378,0.0763216,0.0185618,0.061425,0.0472742,0.0543782,0.0723526,0.0645054,0.012859,0.0692246,0.028675,0.0769884,0.01569,0.0821336,0.0207074,0.0632998,0.0222936,0.0710182,0.028908,0.0609932,0.0153336,0.075369,0.0549818,0.0718114,0.0117334,0.0746282,0.0764152,0.0294916,0.0733792,0.0746344,0.0204126,0.0732208,0.0742542,0.0166956,0.0693028,0.057709,0.0560324
